event_id,split,true_source_mmsi,true_origin_lat,true_origin_lon,true_origin_x_km,true_origin_y_km,true_release_timestamp,true_release_sim_hours,release_duration_h
EVT0001,train,329813634,37.94854,21.278653,298.9738,328.2314,2026-01-08T20:06:30Z,92.109,2.873
EVT0002,train,480469227,38.099488,18.367789,33.538,345.035,2026-01-12T18:10:39Z,186.178,4.035
EVT0003,val,527201014,35.910172,18.856542,78.1064,101.3204,2026-01-11T09:30:16Z,153.505,3.455
EVT0004,train,666296434,37.55901,21.907626,356.3286,284.869,2026-01-06T06:27:58Z,30.466,3.482
EVT0005,test,592609471,36.919257,19.95887,178.6254,213.6517,2026-01-12T08:18:18Z,176.305,3.287
EVT0006,test,701271671,35.774447,21.819828,348.3225,86.2115,2026-01-06T11:01:32Z,35.026,2.135
EVT0007,train,427951534,37.642201,18.351427,32.0459,294.1298,2026-01-13T03:08:36Z,195.143,3.881
EVT0008,val,425068991,37.314836,19.840036,167.7892,257.6875,2026-01-11T04:48:09Z,148.803,2.745
EVT0009,test,387800812,37.323611,20.382033,217.2128,258.6643,2026-01-06T19:23:13Z,43.387,2.904
EVT0010,train,405267985,36.457201,21.21965,293.5934,162.2156,2026-01-06T08:34:19Z,32.572,4.31
EVT0011,train,611252685,37.677022,19.695264,154.5877,298.0061,2026-01-08T05:00:21Z,77.006,2.808
EVT0012,train,624609674,35.645504,21.697269,337.1466,71.8576,2026-01-12T20:55:58Z,188.933,2.577
