scene_id,event_id,tile_id,acquisition_timestamp,sim_hours,latitude,longitude,bbox,sensor,product_type,polarization,acquisition_mode,pixel_spacing_m,scene_size_px,incidence_angle_deg,image_path,mask_path,quicklook_path,mask_available,oil_present,lookalike_present,ship_present,land_present,pre_release_scene,true_oil_area_km2,true_oil_major_km,true_oil_minor_km,true_oil_orientation_deg,f1_detected,f1_confidence,f1_lookalike_merged,f1_partial,wind_speed_ms,current_speed_ms,contrast_factor,ground_truth_source,label_confidence,data_quality_flag,source_dataset,license,split
S1_EVT0001_00,EVT0001,T00001,2026-01-08T13:38:46Z,85.646,37.64822,20.535648,"20.42335,37.55623,20.64794,37.74021",Sentinel-1,GRD,VV+VH,IW,40.0,512,40.3,images\S1_EVT0001_00.npy,masks\S1_EVT0001_00.png,quicklook\S1_EVT0001_00.png,True,False,False,True,False,True,0.0,0.0,0.0,0.0,False,0.0,False,False,4.126,0.4055,1.0,simulation,0.969,nominal,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
S1_EVT0001_01,EVT0001,T00002,2026-01-08T22:20:23Z,94.34,38.006199,21.267771,"21.15548,37.91421,21.38007,38.09819",Sentinel-1,GRD,VV+VH,IW,40.0,512,40.54,images\S1_EVT0001_01.npy,masks\S1_EVT0001_01.png,quicklook\S1_EVT0001_01.png,True,True,True,True,False,False,10.9277,6.671,2.346,88.04,False,0.0,False,False,2.119,1.0498,0.501,simulation,0.819,low_contrast,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
S1_EVT0001_02,EVT0001,T00003,2026-01-09T16:00:22Z,112.006,38.333618,21.163833,"21.05154,38.24163,21.27613,38.42561",Sentinel-1,GRD,VV+VH,IW,40.0,512,37.27,images\S1_EVT0001_02.npy,masks\S1_EVT0001_02.png,quicklook\S1_EVT0001_02.png,True,True,True,True,False,False,26.9986,7.863,5.465,155.45,True,0.99,False,False,6.877,0.3627,1.0,simulation,0.893,nominal,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
S1_EVT0001_03,EVT0001,T00004,2026-01-10T10:00:41Z,130.011,38.501258,20.642879,"20.53058,38.40927,20.75517,38.59324",Sentinel-1,GRD,VV+VH,IW,40.0,512,38.37,images\S1_EVT0001_03.npy,masks\S1_EVT0001_03.png,quicklook\S1_EVT0001_03.png,True,True,True,True,False,False,26.9489,14.081,3.786,91.96,False,0.0,False,False,2.424,0.5103,0.674,simulation,0.884,low_contrast,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
S1_EVT0001_04,EVT0001,T00005,2026-01-11T07:23:43Z,151.395,38.501258,20.661316,"20.54902,38.40927,20.77361,38.59324",Sentinel-1,GRD,VV+VH,IW,40.0,512,34.83,images\S1_EVT0001_04.npy,masks\S1_EVT0001_04.png,quicklook\S1_EVT0001_04.png,True,False,True,True,False,False,0.0,0.0,0.0,0.0,False,0.0,False,False,5.0,0.1571,1.0,simulation,0.911,nominal,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
S1_EVT0001_05,EVT0001,T00006,2026-01-11T23:18:39Z,167.311,38.501258,20.775479,"20.66318,38.40927,20.88777,38.59324",Sentinel-1,GRD,VV+VH,IW,40.0,512,39.57,images\S1_EVT0001_05.npy,masks\S1_EVT0001_05.png,quicklook\S1_EVT0001_05.png,True,False,True,True,False,False,0.0,0.0,0.0,0.0,False,0.0,False,False,0.986,0.4531,0.15,simulation,0.803,low_contrast,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
S1_EVT0001_06,EVT0001,T00007,2026-01-12T15:30:49Z,183.514,38.501258,20.867536,"20.75524,38.40927,20.97983,38.59324",Sentinel-1,GRD,VV+VH,IW,40.0,512,35.59,images\S1_EVT0001_06.npy,masks\S1_EVT0001_06.png,quicklook\S1_EVT0001_06.png,True,False,True,True,False,False,0.0,0.0,0.0,0.0,False,0.0,False,False,6.888,0.3629,1.0,simulation,0.99,nominal,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
S1_EVT0001_07,EVT0001,T00008,2026-01-13T06:53:08Z,198.886,38.501258,21.054316,"20.94202,38.40927,21.16661,38.59324",Sentinel-1,GRD,VV+VH,IW,40.0,512,31.57,images\S1_EVT0001_07.npy,masks\S1_EVT0001_07.png,quicklook\S1_EVT0001_07.png,True,False,True,True,False,False,0.0,0.0,0.0,0.0,False,0.0,False,False,10.077,0.4336,1.0,simulation,0.97,nominal,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
S1_EVT0001_08,EVT0001,T00009,2026-01-13T23:57:01Z,215.95,38.501258,21.279728,"21.16743,38.40927,21.39202,38.59324",Sentinel-1,GRD,VV+VH,IW,40.0,512,33.04,images\S1_EVT0001_08.npy,masks\S1_EVT0001_08.png,quicklook\S1_EVT0001_08.png,True,False,True,True,False,False,0.0,0.0,0.0,0.0,False,0.0,False,False,6.561,0.4092,1.0,simulation,0.908,nominal,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
S1_EVT0001_09,EVT0001,T00010,2026-01-14T19:05:24Z,235.09,38.501258,21.366073,"21.25378,38.40927,21.47837,38.59324",Sentinel-1,GRD,VV+VH,IW,40.0,512,32.33,images\S1_EVT0001_09.npy,masks\S1_EVT0001_09.png,quicklook\S1_EVT0001_09.png,True,False,True,True,False,False,0.0,0.0,0.0,0.0,False,0.0,False,False,3.873,0.3321,1.0,simulation,0.914,nominal,OceanGuard-Synth,CC-BY-4.0 (synthetic),train
