event_id,source_hypothesis_id,ensemble_id,is_deterministic,source_lat,source_lon,source_x_km,source_y_km,origin_time_start,origin_time_end,origin_time_mid,origin_time_mid_sim_h,first_observation_sim_h,backtracked_hours,uncertainty_radius_km,wind_drift_factor,diffusion_m2s,seed_state_ids,qa_source_error_km,source_probability
EVT0001,EVT0001-H00,0,True,38.466892,21.00957,274.4367,385.9344,2026-01-09T02:00:22Z,2026-01-09T14:00:22Z,2026-01-09T08:00:22Z,104.006,112.006,8.0,2.761,0.032,9.0,EVT0001-OBS000,62.703,0.3083
EVT0001,EVT0001-H01,1,False,38.459276,21.015879,275.012,385.0866,2026-01-09T01:35:18Z,2026-01-09T13:35:18Z,2026-01-09T07:35:18Z,103.589,112.006,8.418,6.821,0.0155,8.956,EVT0001-OBS000,61.698,0.1248
EVT0001,EVT0001-H02,2,False,38.418241,21.059348,278.9758,380.5186,2026-01-09T05:16:31Z,2026-01-09T17:16:31Z,2026-01-09T11:16:31Z,107.275,112.006,4.731,5.396,0.03014,5.198,EVT0001-OBS000,55.981,0.1577
EVT0001,EVT0001-H03,3,False,38.402301,21.077149,280.5991,378.7441,2026-01-09T06:17:19Z,2026-01-09T18:17:19Z,2026-01-09T12:17:19Z,108.289,112.006,3.718,4.634,0.03103,14.202,EVT0001-OBS000,53.751,0.1837
EVT0001,EVT0001-H04,4,False,38.461766,21.016433,275.0625,385.3638,2026-01-09T02:37:29Z,2026-01-09T14:37:29Z,2026-01-09T08:37:29Z,104.625,112.006,7.381,6.404,0.03003,12.506,EVT0001-OBS000,61.934,0.1329
EVT0001,EVT0001-H05,5,False,38.575665,20.920077,266.276,398.043,2026-01-08T18:59:59Z,2026-01-09T06:59:59Z,2026-01-09T00:59:59Z,97.0,112.006,15.006,9.197,0.03667,14.417,EVT0001-OBS000,77.09,0.0926
EVT0001,EVT0001-HBEST,-1,False,38.466892,21.00957,274.4367,385.9344,2026-01-09T02:00:22Z,2026-01-09T14:00:22Z,2026-01-09T08:00:22Z,104.006,112.006,8.0,7.656,0.032,9.0,EVT0001-OBS000,62.703,1.0
EVT0002,EVT0002-H00,0,True,38.108387,18.321247,29.2939,346.0256,2026-01-13T02:11:11Z,2026-01-13T14:11:11Z,2026-01-13T08:11:11Z,200.187,205.824,5.638,4.666,0.032,9.0,EVT0002-OBS000,4.358,0.2498
EVT0002,EVT0002-H01,1,False,38.118091,18.303508,27.6763,347.1058,2026-01-12T23:31:33Z,2026-01-13T11:31:33Z,2026-01-13T05:31:33Z,197.526,205.824,8.298,8.938,0.02908,10.339,EVT0002-OBS000,6.217,0.1304
EVT0002,EVT0002-H02,2,False,38.131,18.289936,26.4387,348.5429,2026-01-12T20:52:18Z,2026-01-13T08:52:18Z,2026-01-13T02:52:18Z,194.872,205.824,10.953,9.585,0.0293,11.068,EVT0002-OBS000,7.919,0.1216
EVT0002,EVT0002-H03,3,False,38.106611,18.311844,28.4364,345.828,2026-01-12T23:46:59Z,2026-01-13T11:46:59Z,2026-01-13T05:46:59Z,197.783,205.824,8.041,8.406,0.03886,7.858,EVT0002-OBS000,5.163,0.1387
EVT0002,EVT0002-H04,4,False,38.105457,18.320722,29.246,345.6994,2026-01-13T01:55:25Z,2026-01-13T13:55:25Z,2026-01-13T07:55:25Z,199.924,205.824,5.901,6.99,0.03541,11.991,EVT0002-OBS000,4.343,0.1668
EVT0002,EVT0002-H05,5,False,38.116816,18.321247,29.2939,346.9639,2026-01-13T03:42:18Z,2026-01-13T15:42:18Z,2026-01-13T09:42:18Z,201.705,205.824,4.119,6.048,0.02515,9.777,EVT0002-OBS000,4.662,0.1927
EVT0002,EVT0002-HBEST,-1,False,38.108387,18.321247,29.2939,346.0256,2026-01-13T02:11:11Z,2026-01-13T14:11:11Z,2026-01-13T08:11:11Z,200.187,205.824,5.638,4.666,0.032,9.0,EVT0002-OBS000,4.358,1.0
EVT0003,EVT0003-H00,0,True,35.824549,18.834134,76.063,91.7888,2026-01-10T11:52:26Z,2026-01-10T23:52:26Z,2026-01-10T17:52:26Z,137.874,155.874,18.0,1.806,0.032,9.0,EVT0003-OBS000,9.748,0.4982
EVT0003,EVT0003-H01,1,False,35.837542,18.853204,77.8019,93.2352,2026-01-10T09:15:25Z,2026-01-10T21:15:25Z,2026-01-10T15:15:25Z,135.257,155.874,20.617,10.39,0.02411,4.719,EVT0003-OBS000,8.091,0.0866
EVT0003,EVT0003-H02,2,False,35.811698,18.846015,77.1464,90.3582,2026-01-10T12:21:55Z,2026-01-11T00:21:55Z,2026-01-10T18:21:55Z,138.365,155.874,17.509,10.098,0.04287,9.444,EVT0003-OBS000,11.004,0.0891
EVT0003,EVT0003-H03,3,False,35.851315,18.846122,77.1562,94.7684,2026-01-10T14:47:15Z,2026-01-11T02:47:15Z,2026-01-10T20:47:15Z,140.788,155.874,15.087,8.364,0.0172,10.795,EVT0003-OBS000,6.62,0.1076
EVT0003,EVT0003-H04,4,False,35.836187,18.853588,77.837,93.0843,2026-01-10T16:49:16Z,2026-01-11T04:49:16Z,2026-01-10T22:49:16Z,142.821,155.874,13.053,8.419,0.03312,7.858,EVT0003-OBS000,8.24,0.1069
EVT0003,EVT0003-H05,5,False,35.845669,18.850734,77.5767,94.1399,2026-01-10T16:10:26Z,2026-01-11T04:10:26Z,2026-01-10T22:10:26Z,142.174,155.874,13.7,8.065,0.02612,13.039,EVT0003-OBS000,7.2,0.1116
EVT0003,EVT0003-HBEST,-1,False,35.824549,18.834134,76.063,91.7888,2026-01-10T11:52:26Z,2026-01-10T23:52:26Z,2026-01-10T17:52:26Z,137.874,155.874,18.0,1.806,0.032,9.0,EVT0003-OBS000,9.748,1.0
EVT0004,EVT0004-H00,0,True,37.457485,21.831324,349.3708,273.5672,2026-01-05T14:03:35Z,2026-01-06T02:03:35Z,2026-01-05T20:03:35Z,20.06,38.06,18.0,3.84,0.032,9.0,EVT0004-OBS000,13.272,0.4158
EVT0004,EVT0004-H01,1,False,37.495561,21.812334,347.6391,277.8058,2026-01-05T16:30:49Z,2026-01-06T04:30:49Z,2026-01-05T22:30:49Z,22.514,38.06,15.546,12.639,0.03375,9.32,EVT0004-OBS000,11.198,0.1263
EVT0004,EVT0004-H02,2,False,37.503802,21.817921,348.1486,278.7232,2026-01-05T16:51:58Z,2026-01-06T04:51:58Z,2026-01-05T22:51:58Z,22.866,38.06,15.193,10.973,0.03043,8.362,EVT0004-OBS000,10.231,0.1455
EVT0004,EVT0004-H03,3,False,37.484506,21.813935,347.7852,276.5752,2026-01-05T16:42:12Z,2026-01-06T04:42:12Z,2026-01-05T22:42:12Z,22.704,38.06,15.356,12.529,0.03883,8.511,EVT0004-OBS000,11.907,0.1274
EVT0004,EVT0004-H04,4,False,37.470856,21.828426,349.1066,275.0557,2026-01-05T11:51:44Z,2026-01-05T23:51:44Z,2026-01-05T17:51:44Z,17.862,38.06,20.197,17.489,0.0332,3.068,EVT0004-OBS000,12.184,0.0913
EVT0004,EVT0004-H05,5,False,37.472166,21.836909,349.88,275.2015,2026-01-05T12:43:04Z,2026-01-06T00:43:04Z,2026-01-05T18:43:04Z,18.718,38.06,19.342,17.054,0.03005,9.562,EVT0004-OBS000,11.621,0.0936
EVT0004,EVT0004-HBEST,-1,False,37.457485,21.831324,349.3708,273.5672,2026-01-05T14:03:35Z,2026-01-06T02:03:35Z,2026-01-05T20:03:35Z,20.06,38.06,18.0,3.84,0.032,9.0,EVT0004-OBS000,13.272,1.0
EVT0005,EVT0005-H00,0,True,37.278334,19.93092,176.0767,253.6241,2026-01-12T05:26:45Z,2026-01-12T17:26:45Z,2026-01-12T11:26:45Z,179.446,197.446,18.0,4.335,0.032,9.0,EVT0005-OBS000,40.054,0.3098
EVT0005,EVT0005-H01,1,False,37.265783,19.980768,180.6223,252.227,2026-01-12T02:18:31Z,2026-01-12T14:18:31Z,2026-01-12T08:18:31Z,176.309,197.446,21.137,12.468,0.03425,6.604,EVT0005-OBS000,38.627,0.1077
EVT0005,EVT0005-H02,2,False,37.274256,19.838788,167.6754,253.1702,2026-01-12T10:13:13Z,2026-01-12T22:13:13Z,2026-01-12T16:13:13Z,184.22,197.446,13.226,7.206,0.04106,12.88,EVT0005-OBS000,41.007,0.1864
EVT0005,EVT0005-H03,3,False,37.304198,19.949417,177.7634,256.5034,2026-01-12T05:47:26Z,2026-01-12T17:47:26Z,2026-01-12T11:47:26Z,179.791,197.446,17.655,10.151,0.01895,5.879,EVT0005-OBS000,42.86,0.1323
EVT0005,EVT0005-H04,4,False,37.289972,19.901279,173.3739,254.9197,2026-01-12T07:08:22Z,2026-01-12T19:08:22Z,2026-01-12T13:08:22Z,181.14,197.446,16.306,8.972,0.02912,5.65,EVT0005-OBS000,41.601,0.1497
EVT0005,EVT0005-H05,5,False,37.25976,19.964252,179.1162,251.5564,2026-01-12T02:25:19Z,2026-01-12T14:25:19Z,2026-01-12T08:25:19Z,176.422,197.446,21.024,11.762,0.03467,10.179,EVT0005-OBS000,37.908,0.1142
EVT0005,EVT0005-HBEST,-1,False,37.278334,19.93092,176.0767,253.6241,2026-01-12T05:26:45Z,2026-01-12T17:26:45Z,2026-01-12T11:26:45Z,179.446,197.446,18.0,4.591,0.032,9.0,EVT0005-OBS000,40.054,1.0
