mmsi,timestamp,sim_hours,latitude,longitude,sog_kn,cog_deg,heading_deg,nav_status,vessel_type,vessel_length,vessel_width,draught,source,is_observed
226110445,2026-01-16T00:07:03Z,264.1178,35.0,22.116984,7.41,270.0,272.1,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:07:03Z,264.1178,35.0,22.116984,7.41,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:11:47Z,264.1966,35.0,22.093259,14.81,270.0,267.3,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:12:03Z,264.2011,35.0,22.091913,14.81,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:15:02Z,264.2506,35.0,22.077005,14.81,270.0,267.8,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:17:03Z,264.2844,35.0,22.066842,14.81,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:17:21Z,264.2892,35.0,22.065403,14.81,270.0,270.3,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:21:32Z,264.359,35.0,22.044403,14.81,270.0,269.3,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:22:03Z,264.3678,35.0,22.041771,14.81,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:24:03Z,264.4009,35.0,22.031794,14.81,270.0,270.7,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:26:38Z,264.444,35.0,22.018829,14.81,270.0,267.6,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:27:03Z,264.4511,35.0,22.0167,14.81,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:30:09Z,264.5025,35.0,22.001235,14.81,270.0,269.5,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:32:03Z,264.5344,35.0,21.991629,14.81,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:35:57Z,264.5992,35.0,21.972146,14.81,270.0,269.4,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:37:03Z,264.6178,35.0,21.966558,14.81,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:39:55Z,264.6653,35.0,21.952254,14.81,270.0,266.6,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:42:03Z,264.7011,35.0,21.941487,14.81,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:46:22Z,264.7728,35.0,21.919907,14.81,270.0,269.4,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:47:03Z,264.7844,35.0,21.916416,14.81,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:51:08Z,264.8525,35.0,21.895949,14.81,270.0,267.3,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:52:03Z,264.8678,35.0,21.891345,14.81,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
226110445,2026-01-16T00:54:05Z,264.9016,35.0,21.881156,14.81,270.0,269.4,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:56:42Z,264.9451,35.0,21.868082,13.85,270.0,268.1,UnderWayUsingEngine,Tanker,287.7,44.5,12.7,AIS-terrestrial,True
226110445,2026-01-16T00:57:03Z,264.9511,35.0,21.866274,12.96,270.0,270.0,Interpolated,Tanker,287.7,44.5,12.7,interpolation,False
251719391,2026-01-18T03:20:51Z,315.3476,35.851788,22.386542,8.9,313.2,319.0,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T03:20:51Z,315.3476,35.851788,22.386542,8.9,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T03:25:31Z,315.4255,35.867585,22.36601,17.81,313.2,311.2,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T03:25:51Z,315.4309,35.868688,22.364577,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T03:30:51Z,315.5143,35.885588,22.342611,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T03:35:51Z,315.5976,35.902488,22.320646,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T03:38:06Z,315.6352,35.910104,22.310747,17.81,313.2,314.9,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T03:40:51Z,315.6809,35.919388,22.298681,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T03:45:51Z,315.7643,35.936288,22.276715,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T03:50:25Z,315.8403,35.951713,22.256667,17.81,313.2,313.4,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T03:50:51Z,315.8476,35.953189,22.25475,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T03:55:51Z,315.9309,35.970089,22.232785,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T03:56:34Z,315.9429,35.972507,22.229642,17.81,313.2,314.4,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T04:00:51Z,316.0143,35.986989,22.210819,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:05:51Z,316.0976,36.003889,22.188854,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:09:02Z,316.1507,36.014659,22.174856,17.81,313.2,316.5,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T04:10:51Z,316.1809,36.020789,22.166889,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:15:51Z,316.2643,36.037689,22.144923,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:17:28Z,316.2913,36.043162,22.137811,17.81,313.2,311.9,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T04:20:51Z,316.3476,36.05459,22.122958,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:24:39Z,316.411,36.067442,22.106254,17.81,313.2,310.7,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T04:25:51Z,316.4309,36.07149,22.100993,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:30:51Z,316.5143,36.08839,22.079027,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:35:51Z,316.5976,36.10529,22.057062,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:37:55Z,316.6321,36.112285,22.047971,17.81,313.2,310.5,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T04:40:51Z,316.6809,36.12219,22.035097,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:45:51Z,316.7643,36.139091,22.013131,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:48:48Z,316.8135,36.14908,22.000148,17.81,313.2,314.5,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T04:50:51Z,316.8476,36.155991,21.991166,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T04:55:51Z,316.9309,36.172891,21.969201,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:00:51Z,317.0143,36.189791,21.947236,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:02:58Z,317.0496,36.19695,21.937931,17.81,313.2,313.1,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T05:05:51Z,317.0976,36.206691,21.92527,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:10:51Z,317.1809,36.223591,21.903305,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:15:26Z,317.2574,36.239103,21.883144,17.81,313.2,315.8,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T05:15:51Z,317.2643,36.240492,21.88134,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:20:51Z,317.3476,36.257392,21.859374,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:25:51Z,317.4309,36.274292,21.837409,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:29:57Z,317.4993,36.288158,21.819387,17.81,313.2,313.6,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T05:30:51Z,317.5143,36.291192,21.815444,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:35:51Z,317.5976,36.308092,21.793478,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:40:51Z,317.6809,36.324992,21.771513,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:41:28Z,317.6913,36.327084,21.768794,17.81,313.2,312.8,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T05:45:51Z,317.7643,36.341893,21.749548,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:50:51Z,317.8476,36.358793,21.727582,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T05:55:51Z,317.9309,36.375693,21.705617,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:00:14Z,318.004,36.390515,21.686352,17.81,313.2,315.4,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T06:00:51Z,318.0143,36.392593,21.683652,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:05:51Z,318.0976,36.409493,21.661686,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:07:25Z,318.1238,36.414808,21.654779,17.81,313.2,318.1,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T06:10:51Z,318.1809,36.426394,21.639721,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:15:51Z,318.2643,36.443294,21.617756,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:18:54Z,318.315,36.453585,21.60438,17.81,313.2,315.9,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T06:20:51Z,318.3476,36.460194,21.59579,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:25:51Z,318.4309,36.477094,21.573825,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:30:51Z,318.5143,36.493994,21.55186,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:32:10Z,318.5362,36.498434,21.54609,17.81,313.2,312.4,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T06:35:51Z,318.5976,36.510894,21.529895,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:39:56Z,318.6657,36.524709,21.51194,17.81,313.2,314.5,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T06:40:51Z,318.6809,36.527795,21.507929,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:45:19Z,318.7556,36.542926,21.488263,17.81,313.2,314.6,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T06:45:51Z,318.7643,36.544695,21.485964,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:50:51Z,318.8476,36.561595,21.463999,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T06:53:38Z,318.8941,36.571021,21.451748,17.81,313.2,315.7,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T06:55:51Z,318.9309,36.578495,21.442033,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T07:00:51Z,319.0143,36.595395,21.420068,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T07:05:35Z,319.0931,36.611391,21.399278,17.81,313.2,308.4,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T07:05:51Z,319.0976,36.612295,21.398103,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T07:10:51Z,319.1809,36.629196,21.376137,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T07:15:51Z,319.2643,36.646096,21.354172,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T07:17:05Z,319.285,36.650298,21.34871,17.81,313.2,315.2,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T07:20:51Z,319.3476,36.662996,21.332207,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T07:25:05Z,319.4183,36.677332,21.313573,17.81,313.2,312.2,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T07:25:51Z,319.4309,36.679896,21.310241,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T07:30:51Z,319.5143,36.696796,21.288276,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
251719391,2026-01-18T07:31:52Z,319.5313,36.700245,21.283793,17.81,313.2,312.4,UnderWayUsingEngine,Passenger,158.8,12.3,6.3,AIS-terrestrial,True
251719391,2026-01-18T07:35:51Z,319.5976,36.713697,21.266311,17.81,313.2,313.2,Interpolated,Passenger,158.8,12.3,6.3,interpolation,False
