event_id,mmsi,track_id,is_true_source,vessel_type,vessel_length,vessel_width,draught,first_timestamp,last_timestamp,track_duration_h,number_of_observations,gap_count,max_gap_hours,track_completeness,distance_to_source_km,distance_to_source_interpolated_km,distance_to_source_effective_km,closest_approach_is_interpolated,dark_gap_over_source,dark_gap_over_source_hours,closest_approach_timestamp,interpolated_closest_timestamp,temporal_compatibility,track_overlap,speed_compatibility,course_compatibility,ais_gap_ratio_origin_window,observed_speed_kn,observed_course_deg,slick_drift_speed_kn,slick_drift_course_deg,source_hypothesis_id
EVT0001,329813634,EVT0001-329813634,True,Passenger,134.1,26.4,8.5,2026-01-08T10:03:54Z,2026-01-08T22:18:37Z,12.245,114,1,1.986,0.2945,42.86,42.887,42.86,False,False,0.0,2026-01-08T21:28:12Z,2026-01-08T21:30:21Z,0.1107,0.0,0.5,0.9689,1.0,18.49,20.3,0.0,0.0,EVT0001-HBEST
EVT0001,459453140,EVT0001-459453140,False,Tanker,179.0,30.5,8.0,2026-01-08T10:01:37Z,2026-01-08T12:06:40Z,2.084,54,0,0.113,0.063,109.874,109.728,109.728,False,False,0.0,2026-01-08T10:01:37Z,2026-01-08T10:00:21Z,0.0017,0.0,0.5,0.8983,1.0,6.84,37.2,0.0,0.0,EVT0001-HBEST
EVT0001,725796285,EVT0001-725796285,False,Fishing,31.2,4.3,2.0,2026-01-08T10:03:18Z,2026-01-09T09:32:21Z,23.484,428,0,0.149,0.6112,113.513,113.006,113.006,True,False,0.0,2026-01-08T10:03:18Z,2026-01-08T10:00:21Z,0.0072,0.5784,0.5,0.0476,0.3754,6.97,154.8,0.0,0.0,EVT0001-HBEST
EVT0001,611252685,EVT0001-611252685,False,Cargo,162.2,23.6,7.5,2026-01-08T10:02:41Z,2026-01-08T14:09:17Z,4.11,75,1,0.258,0.1074,128.851,128.434,128.434,False,False,0.0,2026-01-08T10:02:41Z,2026-01-08T10:00:21Z,0.0008,0.0,0.5,0.3588,1.0,15.01,106.4,0.0,0.0,EVT0001-HBEST
EVT0001,459158148,EVT0001-459158148,False,Passenger,76.1,28.2,3.0,2026-01-08T13:42:09Z,2026-01-09T06:48:10Z,17.1,473,1,0.126,0.4565,230.476,230.476,230.476,False,False,0.0,2026-01-08T20:12:42Z,2026-01-08T20:12:21Z,0.0,0.3938,0.5,0.3935,0.6014,19.11,102.3,0.0,0.0,EVT0001-HBEST
EVT0002,480469227,EVT0002-480469227,True,Fishing,22.6,6.0,2.0,2026-01-12T16:04:39Z,2026-01-13T19:43:51Z,27.653,170,1,5.98,0.5581,31.221,0.707,0.707,True,True,5.788,2026-01-12T16:04:39Z,2026-01-12T17:55:26Z,0.85,0.8864,0.5298,0.6941,0.0103,4.63,109.2,0.82,42.0,EVT0002-HBEST
EVT0002,427951534,EVT0002-427951534,False,Fishing,17.6,5.1,2.0,2026-01-12T22:09:09Z,2026-01-13T19:47:58Z,21.647,367,3,3.143,0.4825,38.408,38.409,38.408,False,False,0.0,2026-01-12T22:59:25Z,2026-01-12T23:01:26Z,0.3095,0.702,0.5451,0.5317,0.2608,4.46,128.4,0.82,42.0,EVT0002-HBEST
EVT0002,592609471,EVT0002-592609471,False,Cargo,175.7,37.5,8.7,2026-01-12T11:11:22Z,2026-01-13T00:41:04Z,13.495,174,1,0.24,0.3671,131.271,131.271,131.271,False,False,0.0,2026-01-12T17:55:34Z,2026-01-12T17:55:26Z,0.0016,0.0,0.1151,0.9989,1.0,13.79,38.3,0.82,42.0,EVT0002-HBEST
EVT0002,624609674,EVT0002-624609674,False,Tug,31.7,6.2,2.0,2026-01-12T13:49:11Z,2026-01-13T19:47:25Z,29.97,177,2,2.716,0.7321,185.785,185.47,185.47,False,False,0.0,2026-01-13T19:47:25Z,2026-01-13T19:49:26Z,0.0002,0.881,0.453,0.4034,0.0353,5.57,300.9,0.82,42.0,EVT0002-HBEST
EVT0002,425068991,EVT0002-425068991,False,Fishing,17.5,6.1,2.4,2026-01-12T07:52:10Z,2026-01-12T09:11:04Z,1.315,10,0,0.2,0.0329,317.762,317.435,317.435,False,False,0.0,2026-01-12T07:52:10Z,2026-01-12T07:49:26Z,0.0,0.0,0.5478,0.9918,1.0,4.43,52.4,0.82,42.0,EVT0002-HBEST
EVT0003,527201014,EVT0003-527201014,True,Passenger,70.7,23.3,2.1,2026-01-10T15:31:11Z,2026-01-11T13:28:10Z,21.95,194,2,3.368,0.4979,39.597,4.696,4.696,True,True,3.251,2026-01-11T08:28:45Z,2026-01-11T09:46:26Z,0.85,0.7083,0.0791,0.0243,0.3056,16.0,220.5,0.78,58.4,EVT0003-HBEST
EVT0003,592609471,EVT0003-592609471,False,Cargo,175.7,37.5,8.7,2026-01-11T11:39:34Z,2026-01-11T17:50:14Z,6.178,84,0,0.16,0.1772,46.429,46.429,46.429,False,False,0.0,2026-01-11T14:06:00Z,2026-01-11T14:04:26Z,0.0472,0.0,0.1144,0.9976,1.0,13.79,64.1,0.78,58.4,EVT0003-HBEST
EVT0003,649261623,EVT0003-649261623,False,Passenger,144.3,17.4,6.0,2026-01-11T08:51:27Z,2026-01-11T17:48:58Z,8.959,70,0,0.274,0.2639,48.018,47.961,47.961,False,False,0.0,2026-01-11T10:45:43Z,2026-01-11T10:40:26Z,0.055,0.0,0.0406,0.9429,1.0,20.01,30.8,0.78,58.4,EVT0003-HBEST
EVT0003,425068991,EVT0003-425068991,False,Fishing,17.5,6.1,2.4,2026-01-10T05:56:46Z,2026-01-11T17:50:08Z,35.889,249,1,3.788,0.818,75.628,75.627,75.627,False,False,0.0,2026-01-10T07:32:16Z,2026-01-10T07:34:26Z,0.0482,0.9363,0.5443,0.9972,0.016,4.43,52.4,0.78,58.4,EVT0003-HBEST
EVT0003,425372509,EVT0003-425372509,False,Tug,21.2,11.1,2.0,2026-01-10T05:55:45Z,2026-01-10T21:29:04Z,15.555,122,0,0.316,0.416,129.888,129.002,129.002,True,False,0.0,2026-01-10T05:55:45Z,2026-01-10T05:52:26Z,0.0032,0.7876,0.2554,0.999,0.206,8.97,62.0,0.78,58.4,EVT0003-HBEST
EVT0004,666296434,EVT0004-666296434,True,Cargo,216.5,33.3,8.4,2026-01-05T13:19:57Z,2026-01-06T09:47:21Z,20.457,174,1,1.767,0.483,3.559,1.384,1.384,True,True,1.589,2026-01-06T05:40:49Z,2026-01-06T05:51:36Z,0.9957,0.916,0.1537,0.5915,0.0134,11.4,38.1,0.17,117.6,EVT0004-HBEST
EVT0004,387800812,EVT0004-387800812,False,Passenger,73.8,11.0,2.3,2026-01-06T10:15:42Z,2026-01-06T18:12:45Z,7.951,58,0,0.24,0.2131,17.573,17.528,17.528,False,False,0.0,2026-01-06T12:20:49Z,2026-01-06T12:21:36Z,0.85,0.0,0.0446,0.0048,1.0,18.83,305.5,0.17,117.6,EVT0004-HBEST
EVT0004,701271671,EVT0004-701271671,False,Tug,29.2,6.6,2.0,2026-01-05T15:11:54Z,2026-01-06T19:57:02Z,28.752,315,2,5.091,0.6192,39.142,39.142,39.142,False,False,0.0,2026-01-05T19:56:51Z,2026-01-05T19:57:36Z,0.2982,0.8137,0.3427,0.6315,0.1052,6.59,192.3,0.17,117.6,EVT0004-HBEST
EVT0004,405267985,EVT0004-405267985,False,Tug,24.5,8.0,2.0,2026-01-05T10:38:57Z,2026-01-06T19:56:38Z,33.295,165,2,3.363,0.7581,73.807,73.803,73.803,False,False,0.0,2026-01-06T13:44:00Z,2026-01-06T13:45:36Z,0.0528,0.9234,0.293,0.0608,0.0073,7.53,269.0,0.17,117.6,EVT0004-HBEST
EVT0004,741731333,EVT0004-741731333,False,Passenger,198.2,13.4,10.7,2026-01-05T08:04:12Z,2026-01-06T16:33:56Z,32.496,375,2,1.435,0.8501,87.931,87.93,87.93,False,False,0.0,2026-01-05T16:52:47Z,2026-01-05T16:51:36Z,0.026,1.0,0.0706,0.9942,0.0014,16.07,126.3,0.17,117.6,EVT0004-HBEST
EVT0005,592609471,EVT0005-592609471,True,Cargo,175.7,37.5,8.7,2026-01-11T23:34:50Z,2026-01-13T00:39:39Z,25.08,277,1,3.78,0.5844,40.748,38.713,38.713,True,False,0.0,2026-01-12T07:21:49Z,2026-01-12T07:50:45Z,0.2759,0.6836,0.1184,0.348,0.2992,13.79,250.6,0.99,358.3,EVT0005-HBEST
EVT0005,480469227,EVT0005-480469227,False,Fishing,22.6,6.0,2.0,2026-01-12T16:04:39Z,2026-01-13T11:22:48Z,19.303,113,1,5.823,0.371,39.477,39.467,39.467,False,False,0.0,2026-01-13T03:42:15Z,2026-01-13T03:44:45Z,0.1999,0.0197,0.2519,0.3216,0.9907,9.26,109.2,0.99,358.3,EVT0005-HBEST
EVT0005,427951534,EVT0005-427951534,False,Fishing,17.6,5.1,2.0,2026-01-12T22:11:20Z,2026-01-13T11:26:12Z,13.248,207,1,3.163,0.2721,90.049,89.99,89.99,False,False,0.0,2026-01-13T11:26:12Z,2026-01-13T11:26:45Z,0.0096,0.0,0.5606,0.1779,1.0,4.46,128.4,0.99,358.3,EVT0005-HBEST
EVT0005,624609674,EVT0005-624609674,False,Tug,31.7,6.2,2.0,2026-01-12T13:49:11Z,2026-01-13T11:26:43Z,21.626,126,1,2.638,0.5212,109.738,109.734,109.734,False,False,0.0,2026-01-13T11:26:43Z,2026-01-13T11:26:45Z,0.0072,0.3226,0.4659,0.7694,0.7093,5.57,300.9,0.99,358.3,EVT0005-HBEST
EVT0005,425068991,EVT0005-425068991,False,Fishing,17.5,6.1,2.4,2026-01-11T23:31:12Z,2026-01-12T09:10:01Z,9.647,73,0,0.297,0.2398,149.679,149.072,149.072,True,False,0.0,2026-01-11T23:31:12Z,2026-01-11T23:26:45Z,0.001,0.2957,0.5634,0.7932,0.7012,4.43,52.4,0.99,358.3,EVT0005-HBEST
EVT0006,701271671,EVT0006-701271671,True,Tug,29.2,6.6,2.0,2026-01-05T15:11:54Z,2026-01-06T20:00:40Z,28.813,329,1,5.019,0.6467,11.808,2.286,2.286,True,True,4.938,2026-01-06T08:33:57Z,2026-01-06T09:28:22Z,0.9985,0.9022,0.3795,0.0037,0.0997,6.59,192.3,0.78,19.3,EVT0006-HBEST
EVT0006,741731333,EVT0006-741731333,False,Passenger,198.2,13.4,10.7,2026-01-05T08:08:17Z,2026-01-06T16:35:21Z,32.451,365,2,1.435,0.8274,79.733,79.734,79.733,False,False,0.0,2026-01-05T18:29:16Z,2026-01-05T18:28:22Z,0.0392,0.9793,0.0782,0.1497,0.0107,16.07,244.8,0.78,19.3,EVT0006-HBEST
EVT0006,405267985,EVT0006-405267985,False,Tug,24.5,8.0,2.0,2026-01-05T10:38:57Z,2026-01-06T19:54:40Z,33.262,174,1,3.354,0.7994,80.585,79.432,79.432,True,False,0.0,2026-01-06T10:43:17Z,2026-01-06T09:46:22Z,0.0375,0.9648,0.3245,0.8906,0.0159,7.53,57.9,0.78,19.3,EVT0006-HBEST
EVT0006,666296434,EVT0006-666296434,False,Cargo,216.5,33.3,8.4,2026-01-05T13:19:57Z,2026-01-06T09:39:42Z,20.329,177,2,1.716,0.4913,106.455,106.453,106.453,False,False,0.0,2026-01-05T23:28:54Z,2026-01-05T23:34:22Z,0.0103,0.9326,0.1702,0.9733,0.0117,11.4,38.1,0.78,19.3,EVT0006-HBEST
EVT0006,387871080,EVT0006-387871080,False,Tanker,232.8,47.3,10.9,2026-01-05T17:11:21Z,2026-01-06T10:02:47Z,16.857,101,0,0.36,0.4568,107.178,107.176,107.176,False,False,0.0,2026-01-06T04:22:46Z,2026-01-06T04:22:22Z,0.0099,0.7328,0.1034,0.0298,0.26,14.39,179.4,0.78,19.3,EVT0006-HBEST
EVT0007,427951534,EVT0007-427951534,True,Fishing,17.6,5.1,2.0,2026-01-12T22:09:09Z,2026-01-13T10:46:25Z,12.621,181,1,3.195,0.238,7.386,4.789,4.789,True,True,3.11,2026-01-13T02:04:44Z,2026-01-13T02:48:25Z,1.0,0.4062,0.5929,0.145,0.5461,4.46,128.4,1.32,353.2,EVT0007-HBEST
EVT0007,480469227,EVT0007-480469227,False,Fishing,22.6,6.0,2.0,2026-01-12T16:04:39Z,2026-01-13T10:40:14Z,18.593,104,1,6.018,0.3414,65.218,42.542,42.542,True,False,0.0,2026-01-12T16:05:10Z,2026-01-12T19:00:25Z,0.081,0.6697,0.5044,0.2806,0.2904,5.43,109.2,1.32,353.2,EVT0007-HBEST
EVT0007,592609471,EVT0007-592609471,False,Cargo,175.7,37.5,8.7,2026-01-11T22:51:50Z,2026-01-13T00:41:23Z,25.826,289,2,3.846,0.6097,100.178,100.177,100.177,False,False,0.0,2026-01-12T16:39:28Z,2026-01-12T16:36:25Z,0.0141,0.5317,0.1252,0.8528,0.4992,13.79,38.3,1.32,353.2,EVT0007-HBEST
EVT0007,624609674,EVT0007-624609674,False,Tug,31.7,6.2,2.0,2026-01-12T13:49:11Z,2026-01-13T10:44:02Z,20.914,115,1,2.621,0.4757,239.238,238.496,238.496,True,False,0.0,2026-01-13T10:44:02Z,2026-01-13T10:48:25Z,0.0,0.7321,0.4928,0.806,0.1875,5.57,300.9,1.32,353.2,EVT0007-HBEST
EVT0007,425068991,EVT0007-425068991,False,Fishing,17.5,6.1,2.4,2026-01-11T22:49:18Z,2026-01-12T09:10:55Z,10.36,81,0,0.355,0.2661,256.384,256.276,256.276,False,False,0.0,2026-01-11T22:49:18Z,2026-01-11T22:48:25Z,0.0,0.0,0.5959,0.7558,1.0,4.43,52.4,1.32,353.2,EVT0007-HBEST
EVT0008,425068991,EVT0008-425068991,True,Fishing,17.5,6.1,2.4,2026-01-10T03:05:54Z,2026-01-11T15:00:34Z,35.911,265,1,3.787,0.8706,7.727,7.712,7.712,False,True,3.651,2026-01-11T01:23:39Z,2026-01-11T01:28:08Z,0.9986,0.9757,0.5017,0.1501,0.0149,4.43,52.4,0.29,278.0,EVT0008-HBEST
EVT0008,394390438,EVT0008-394390438,False,Cargo,96.7,16.7,4.9,2026-01-11T04:17:18Z,2026-01-11T15:01:11Z,10.731,113,1,0.274,0.274,22.968,22.958,22.958,False,False,0.0,2026-01-11T14:10:36Z,2026-01-11T14:10:08Z,0.2231,0.0,0.0825,0.9521,1.0,15.26,252.7,0.29,278.0,EVT0008-HBEST
