evidence_id,event_id,source_a_id,source_a_type,source_b_id,source_b_type,timestamp_a,timestamp_b,spatial_residual_km,temporal_residual_h,drift_residual_km,ais_gap_ratio,sensor_confidence,observation_count,forcing_quality,relation,reason,provenance
EVT0002-EV-F1F2,EVT0002,EVT0002-OBS000,F1_DETECTION,EVT0002-OBS001,F2_STATE,2026-01-13T13:49:27Z,2026-01-14T03:24:19Z,0.0,13.5813,,,0.827,4,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0002-OBS000|F2:EVT0002-OBS001
EVT0002-EV-F2F3,EVT0002,EVT0002-OBS001,F2_DRIFT,EVT0002-HBEST,F3_FORCING,2026-01-13T13:49:27Z,2026-01-14T03:24:19Z,3.9882,0.0,3.9882,,0.827,4,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 20.6 km),"F2:EVT0002-OBS000,EVT0002-OBS001|F3:EVT0002-HBEST"
EVT0002-EV-F3F4-480469227,EVT0002,EVT0002-HBEST,F3_SOURCE_HYPOTHESIS,EVT0002-480469227,F4_VESSEL_TRACK,2026-01-13T08:11:13Z,2026-01-12T16:04:39Z,0.707,14.2631,9.928,0.0103,0.827,4,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F3:EVT0002-HBEST|F4:EVT0002-480469227
EVT0002-EV-F3F4-427951534,EVT0002,EVT0002-HBEST,F3_SOURCE_HYPOTHESIS,EVT0002-427951534,F4_VESSEL_TRACK,2026-01-13T08:11:13Z,2026-01-12T22:59:25Z,38.408,9.1631,13.006,0.2608,0.827,4,reanalysis-nominal,UNKNOWN,"residuals in the grey band: spatial_residual_km=38.41, temporal_residual_h=9.16",F3:EVT0002-HBEST|F4:EVT0002-427951534
EVT0002-EV-F3F4-592609471,EVT0002,EVT0002-HBEST,F3_SOURCE_HYPOTHESIS,EVT0002-592609471,F4_VESSEL_TRACK,2026-01-13T08:11:13Z,2026-01-12T17:55:34Z,131.271,14.2631,12.992,1.0,0.827,4,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=131.27>=40.0,F3:EVT0002-HBEST|F4:EVT0002-592609471
EVT0002-EV-F3F4-624609674,EVT0002,EVT0002-HBEST,F3_SOURCE_HYPOTHESIS,EVT0002-624609674,F4_VESSEL_TRACK,2026-01-13T08:11:13Z,2026-01-13T19:47:25Z,185.47,11.6369,16.682,0.0353,0.827,4,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=185.47>=40.0,F3:EVT0002-HBEST|F4:EVT0002-624609674
EVT0002-EV-F3F4-425068991,EVT0002,EVT0002-HBEST,F3_SOURCE_HYPOTHESIS,EVT0002-425068991,F4_VESSEL_TRACK,2026-01-13T08:11:13Z,2026-01-12T07:52:10Z,317.435,24.3631,3.774,1.0,0.827,4,reanalysis-nominal,CONTRADICTS,"exceeds contradict bound: spatial_residual_km=317.44>=40.0, temporal_residual_h=24.36>=24.0",F3:EVT0002-HBEST|F4:EVT0002-425068991
EVT0003-EV-F1F2,EVT0003,EVT0003-OBS000,F1_DETECTION,EVT0003-OBS001,F2_STATE,2026-01-11T11:52:26Z,2026-01-12T04:39:18Z,0.0,16.7809,,,0.8534,9,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0003-OBS000|F2:EVT0003-OBS001
EVT0003-EV-F2F3,EVT0003,EVT0003-OBS001,F2_DRIFT,EVT0003-HBEST,F3_FORCING,2026-01-11T11:52:26Z,2026-01-12T04:39:18Z,1.2998,0.0,1.2998,,0.8534,9,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 24.3 km),"F2:EVT0003-OBS000,EVT0003-OBS001|F3:EVT0003-HBEST"
EVT0003-EV-F3F4-527201014,EVT0003,EVT0003-HBEST,F3_SOURCE_HYPOTHESIS,EVT0003-527201014,F4_VESSEL_TRACK,2026-01-10T17:52:26Z,2026-01-11T08:28:45Z,4.696,15.8999,34.734,0.3056,0.8534,9,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F3:EVT0003-HBEST|F4:EVT0003-527201014
EVT0003-EV-F3F4-592609471,EVT0003,EVT0003-HBEST,F3_SOURCE_HYPOTHESIS,EVT0003-592609471,F4_VESSEL_TRACK,2026-01-10T17:52:26Z,2026-01-11T14:06:00Z,46.429,20.1999,13.058,1.0,0.8534,9,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=46.43>=40.0,F3:EVT0003-HBEST|F4:EVT0003-592609471
EVT0003-EV-F3F4-649261623,EVT0003,EVT0003-HBEST,F3_SOURCE_HYPOTHESIS,EVT0003-649261623,F4_VESSEL_TRACK,2026-01-10T17:52:26Z,2026-01-11T10:45:43Z,47.961,16.7999,20.372,1.0,0.8534,9,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=47.96>=40.0,F3:EVT0003-HBEST|F4:EVT0003-649261623
EVT0003-EV-F3F4-425068991,EVT0003,EVT0003-HBEST,F3_SOURCE_HYPOTHESIS,EVT0003-425068991,F4_VESSEL_TRACK,2026-01-10T17:52:26Z,2026-01-10T07:32:16Z,75.627,10.3001,3.706,0.016,0.8534,9,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=75.63>=40.0,F3:EVT0003-HBEST|F4:EVT0003-425068991
EVT0003-EV-F3F4-425372509,EVT0003,EVT0003-HBEST,F3_SOURCE_HYPOTHESIS,EVT0003-425372509,F4_VESSEL_TRACK,2026-01-10T17:52:26Z,2026-01-10T05:55:45Z,129.002,12.0001,8.21,0.206,0.8534,9,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=129.00>=40.0,F3:EVT0003-HBEST|F4:EVT0003-425372509
EVT0004-EV-F1F2,EVT0004,EVT0004-OBS000,F1_DETECTION,EVT0004-OBS001,F2_STATE,2026-01-06T14:03:35Z,2026-01-07T11:51:13Z,0.0,21.794,,,0.99,4,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0004-OBS000|F2:EVT0004-OBS001
EVT0004-EV-F2F3,EVT0004,EVT0004-OBS001,F2_DRIFT,EVT0004-HBEST,F3_FORCING,2026-01-06T14:03:35Z,2026-01-07T11:51:13Z,0.6147,0.0,0.6147,,0.99,4,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 6.7 km),"F2:EVT0004-OBS000,EVT0004-OBS001|F3:EVT0004-HBEST"
EVT0004-EV-F3F4-666296434,EVT0004,EVT0004-HBEST,F3_SOURCE_HYPOTHESIS,EVT0004-666296434,F4_VESSEL_TRACK,2026-01-05T20:03:36Z,2026-01-06T05:40:49Z,1.384,9.8,19.4,0.0134,0.99,4,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F3:EVT0004-HBEST|F4:EVT0004-666296434
EVT0004-EV-F3F4-387800812,EVT0004,EVT0004-HBEST,F3_SOURCE_HYPOTHESIS,EVT0004-387800812,F4_VESSEL_TRACK,2026-01-05T20:03:36Z,2026-01-06T12:20:49Z,17.528,16.3,38.564,1.0,0.99,4,reanalysis-nominal,UNKNOWN,"residuals in the grey band: spatial_residual_km=17.53, temporal_residual_h=16.30",F3:EVT0004-HBEST|F4:EVT0004-387800812
EVT0004-EV-F3F4-701271671,EVT0004,EVT0004-HBEST,F3_SOURCE_HYPOTHESIS,EVT0004-701271671,F4_VESSEL_TRACK,2026-01-05T20:03:36Z,2026-01-05T19:56:51Z,39.142,0.1,13.79,0.1052,0.99,4,reanalysis-nominal,UNKNOWN,residuals in the grey band: spatial_residual_km=39.14,F3:EVT0004-HBEST|F4:EVT0004-701271671
EVT0004-EV-F3F4-405267985,EVT0004,EVT0004-HBEST,F3_SOURCE_HYPOTHESIS,EVT0004-405267985,F4_VESSEL_TRACK,2026-01-05T20:03:36Z,2026-01-06T13:44:00Z,73.803,17.7,26.144,0.0073,0.99,4,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=73.80>=40.0,F3:EVT0004-HBEST|F4:EVT0004-405267985
EVT0004-EV-F3F4-741731333,EVT0004,EVT0004-HBEST,F3_SOURCE_HYPOTHESIS,EVT0004-741731333,F4_VESSEL_TRACK,2026-01-05T20:03:36Z,2026-01-05T16:52:47Z,87.93,3.2,16.016,0.0014,0.99,4,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=87.93>=40.0,F3:EVT0004-HBEST|F4:EVT0004-741731333
EVT0005-EV-F1F2,EVT0005,EVT0005-OBS000,F1_DETECTION,EVT0005-OBS001,F2_STATE,2026-01-13T05:26:45Z,2026-01-13T20:00:25Z,0.0,14.5611,,,0.8864,9,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0005-OBS000|F2:EVT0005-OBS001
EVT0005-EV-F2F3,EVT0005,EVT0005-OBS001,F2_DRIFT,EVT0005-HBEST,F3_FORCING,2026-01-13T05:26:45Z,2026-01-13T20:00:25Z,1.2738,0.0,1.2738,,0.8864,9,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 26.6 km),"F2:EVT0005-OBS000,EVT0005-OBS001|F3:EVT0005-HBEST"
EVT0005-EV-F3F4-592609471,EVT0005,EVT0005-HBEST,F3_SOURCE_HYPOTHESIS,EVT0005-592609471,F4_VESSEL_TRACK,2026-01-12T11:26:45Z,2026-01-12T07:21:49Z,38.713,3.6002,25.84,0.2992,0.8864,9,reanalysis-nominal,UNKNOWN,residuals in the grey band: spatial_residual_km=38.71,F3:EVT0005-HBEST|F4:EVT0005-592609471
EVT0005-EV-F3F4-480469227,EVT0005,EVT0005-HBEST,F3_SOURCE_HYPOTHESIS,EVT0005-480469227,F4_VESSEL_TRACK,2026-01-12T11:26:45Z,2026-01-13T03:42:15Z,39.467,16.2998,21.838,0.9907,0.8864,9,reanalysis-nominal,UNKNOWN,"residuals in the grey band: spatial_residual_km=39.47, temporal_residual_h=16.30",F3:EVT0005-HBEST|F4:EVT0005-480469227
EVT0005-EV-F3F4-427951534,EVT0005,EVT0005-HBEST,F3_SOURCE_HYPOTHESIS,EVT0005-427951534,F4_VESSEL_TRACK,2026-01-12T11:26:45Z,2026-01-13T11:26:12Z,89.99,23.9998,19.912,1.0,0.8864,9,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=89.99>=40.0,F3:EVT0005-HBEST|F4:EVT0005-427951534
EVT0005-EV-F3F4-624609674,EVT0005,EVT0005-HBEST,F3_SOURCE_HYPOTHESIS,EVT0005-624609674,F4_VESSEL_TRACK,2026-01-12T11:26:45Z,2026-01-13T11:26:43Z,109.734,23.9998,9.192,0.7093,0.8864,9,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=109.73>=40.0,F3:EVT0005-HBEST|F4:EVT0005-624609674
EVT0005-EV-F3F4-425068991,EVT0005,EVT0005-HBEST,F3_SOURCE_HYPOTHESIS,EVT0005-425068991,F4_VESSEL_TRACK,2026-01-12T11:26:45Z,2026-01-11T23:31:12Z,149.072,12.0002,7.576,0.7012,0.8864,9,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=149.07>=40.0,F3:EVT0005-HBEST|F4:EVT0005-425068991
EVT0006-EV-F1F2,EVT0006,EVT0006-OBS000,F1_DETECTION,EVT0006-OBS001,F2_STATE,2026-01-06T14:04:23Z,2026-01-07T11:14:04Z,0.0,21.1614,,,0.9567,7,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0006-OBS000|F2:EVT0006-OBS001
EVT0006-EV-F2F3,EVT0006,EVT0006-OBS001,F2_DRIFT,EVT0006-HBEST,F3_FORCING,2026-01-06T14:04:23Z,2026-01-07T11:14:04Z,0.0827,0.0,0.0827,,0.9567,7,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 30.4 km),"F2:EVT0006-OBS000,EVT0006-OBS001|F3:EVT0006-HBEST"
EVT0006-EV-F3F4-701271671,EVT0006,EVT0006-HBEST,F3_SOURCE_HYPOTHESIS,EVT0006-701271671,F4_VESSEL_TRACK,2026-01-05T20:04:22Z,2026-01-06T08:33:57Z,2.286,13.3998,25.736,0.0997,0.9567,7,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F3:EVT0006-HBEST|F4:EVT0006-701271671
EVT0006-EV-F3F4-741731333,EVT0006,EVT0006-HBEST,F3_SOURCE_HYPOTHESIS,EVT0006-741731333,F4_VESSEL_TRACK,2026-01-05T20:04:22Z,2026-01-05T18:29:16Z,79.733,1.6002,32.296,0.0107,0.9567,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=79.73>=40.0,F3:EVT0006-HBEST|F4:EVT0006-741731333
EVT0006-EV-F3F4-405267985,EVT0006,EVT0006-HBEST,F3_SOURCE_HYPOTHESIS,EVT0006-405267985,F4_VESSEL_TRACK,2026-01-05T20:04:22Z,2026-01-06T10:43:17Z,79.432,13.6998,8.938,0.0159,0.9567,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=79.43>=40.0,F3:EVT0006-HBEST|F4:EVT0006-405267985
EVT0006-EV-F3F4-666296434,EVT0006,EVT0006-HBEST,F3_SOURCE_HYPOTHESIS,EVT0006-666296434,F4_VESSEL_TRACK,2026-01-05T20:04:22Z,2026-01-05T23:28:54Z,106.453,3.4998,11.154,0.0117,0.9567,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=106.45>=40.0,F3:EVT0006-HBEST|F4:EVT0006-666296434
EVT0006-EV-F3F4-387871080,EVT0006,EVT0006-HBEST,F3_SOURCE_HYPOTHESIS,EVT0006-387871080,F4_VESSEL_TRACK,2026-01-05T20:04:22Z,2026-01-06T04:22:46Z,107.176,8.2998,33.014,0.26,0.9567,7,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=107.18>=40.0,F3:EVT0006-HBEST|F4:EVT0006-387871080
EVT0007-EV-F1F2,EVT0007,EVT0007-OBS000,F1_DETECTION,EVT0007-OBS001,F2_STATE,2026-01-13T04:48:25Z,2026-01-14T02:37:20Z,0.0,21.8152,,,0.8832,5,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0007-OBS000|F2:EVT0007-OBS001
EVT0007-EV-F2F3,EVT0007,EVT0007-OBS001,F2_DRIFT,EVT0007-HBEST,F3_FORCING,2026-01-13T04:48:25Z,2026-01-14T02:37:20Z,3.342,0.0,3.342,,0.8832,5,reanalysis-nominal,SUPPORTS,all residuals within support bounds (observed disp 53.5 km),"F2:EVT0007-OBS000,EVT0007-OBS001|F3:EVT0007-HBEST"
EVT0007-EV-F3F4-427951534,EVT0007,EVT0007-HBEST,F3_SOURCE_HYPOTHESIS,EVT0007-427951534,F4_VESSEL_TRACK,2026-01-13T00:40:22Z,2026-01-13T02:04:44Z,4.789,2.1339,20.24,0.5461,0.8832,5,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F3:EVT0007-HBEST|F4:EVT0007-427951534
EVT0007-EV-F3F4-480469227,EVT0007,EVT0007-HBEST,F3_SOURCE_HYPOTHESIS,EVT0007-480469227,F4_VESSEL_TRACK,2026-01-13T00:40:22Z,2026-01-12T16:05:10Z,42.542,5.6661,18.498,0.2904,0.8832,5,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=42.54>=40.0,F3:EVT0007-HBEST|F4:EVT0007-480469227
EVT0007-EV-F3F4-592609471,EVT0007,EVT0007-HBEST,F3_SOURCE_HYPOTHESIS,EVT0007-592609471,F4_VESSEL_TRACK,2026-01-13T00:40:22Z,2026-01-12T16:39:28Z,100.177,8.0661,15.414,0.4992,0.8832,5,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=100.18>=40.0,F3:EVT0007-HBEST|F4:EVT0007-592609471
EVT0007-EV-F3F4-624609674,EVT0007,EVT0007-HBEST,F3_SOURCE_HYPOTHESIS,EVT0007-624609674,F4_VESSEL_TRACK,2026-01-13T00:40:22Z,2026-01-13T10:44:02Z,238.496,10.1339,8.13,0.1875,0.8832,5,reanalysis-nominal,CONTRADICTS,exceeds contradict bound: spatial_residual_km=238.50>=40.0,F3:EVT0007-HBEST|F4:EVT0007-624609674
EVT0007-EV-F3F4-425068991,EVT0007,EVT0007-HBEST,F3_SOURCE_HYPOTHESIS,EVT0007-425068991,F4_VESSEL_TRACK,2026-01-13T00:40:22Z,2026-01-11T22:49:18Z,256.276,25.8661,7.994,1.0,0.8832,5,reanalysis-nominal,CONTRADICTS,"exceeds contradict bound: spatial_residual_km=256.28>=40.0, temporal_residual_h=25.87>=24.0",F3:EVT0007-HBEST|F4:EVT0007-425068991
EVT0008-EV-F1F2,EVT0008,EVT0008-OBS000,F1_DETECTION,EVT0008-OBS001,F2_STATE,2026-01-11T09:04:06Z,2026-01-12T03:40:53Z,0.0,18.6129,,,0.9473,7,reanalysis-nominal,SUPPORTS,all residuals within support bounds,F1:EVT0008-OBS000|F2:EVT0008-OBS001
