event_id,hypothesis_id,candidate_mmsi,rank,final_score,confidence_band,event_insufficient_evidence,is_true_source,vessel_type,source_probability,spatial_compatibility,temporal_compatibility,drift_compatibility,ais_completeness,behavioural_score,sensor_confidence,contradiction_count,unknown_count,support_count,n_evidence_items,data_quality_weight,margin_to_next,distance_to_source_km,dark_gap_over_source,closest_approach_is_interpolated,source_hypothesis_id,explanation
EVT0001,EVT0001-C-329813634,329813634,1,0.2291,low,True,True,Passenger,0.0,0.0532,0.1107,0.7345,0.2945,0.0,0.99,0,0,0,0,0.995,0.0425,42.86,False,False,EVT0001-HBEST,"src_prob=0.00, spatial=0.05, temporal=0.11, drift=0.73, behaviour=0.00, contradictions=0; final=0.23 (rank 1/5)"
EVT0001,EVT0001-C-459453140,459453140,2,0.1866,low,True,False,Tanker,0.0,0.0002,0.0017,0.6991,0.063,0.0,0.99,0,0,0,0,0.995,0.0184,109.728,False,False,EVT0001-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.70, behaviour=0.00, contradictions=0; final=0.19 (rank 2/5)"
EVT0001,EVT0001-C-459158148,459158148,3,0.1682,low,True,False,Passenger,0.0,0.0,0.0,0.4467,0.4565,0.0,0.99,0,0,0,0,0.995,0.017,230.476,False,False,EVT0001-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.45, behaviour=0.00, contradictions=0; final=0.17 (rank 3/5)"
EVT0001,EVT0001-C-725796285,725796285,4,0.1512,low,True,False,Fishing,0.0,0.0002,0.0072,0.2738,0.6112,0.0,0.99,0,0,0,0,0.995,0.0028,113.006,False,True,EVT0001-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.01, drift=0.27, behaviour=0.00, contradictions=0; final=0.15 (rank 4/5)"
EVT0001,EVT0001-C-611252685,611252685,5,0.1484,low,True,False,Cargo,0.0,0.0,0.0008,0.4294,0.1074,0.0,0.99,0,0,0,0,0.995,0.1484,128.434,False,False,EVT0001-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.43, behaviour=0.00, contradictions=0; final=0.15 (rank 5/5)"
EVT0002,EVT0002-C-480469227,480469227,1,0.7505,high,False,True,Fishing,1.0,1.0,0.85,0.6119,0.5581,0.6368,0.827,0,0,1,7,0.9135,0.542,0.707,True,True,EVT0002-HBEST,"src_prob=1.00, spatial=1.00, temporal=0.85, drift=0.61, behaviour=0.64, contradictions=0; final=0.75 (rank 1/5)"
EVT0002,EVT0002-C-427951534,427951534,2,0.2085,low,False,False,Fishing,0.0,0.0601,0.3095,0.5384,0.4825,0.0,0.827,0,1,0,7,0.9135,0.1507,38.408,False,False,EVT0002-HBEST,"src_prob=0.00, spatial=0.06, temporal=0.31, drift=0.54, behaviour=0.00, contradictions=0; final=0.21 (rank 2/5)"
EVT0002,EVT0002-C-425068991,425068991,3,0.0578,low,False,False,Fishing,0.0,0.0,0.0,0.7698,0.0329,0.0,0.827,1,0,0,7,0.9135,0.0137,317.435,False,False,EVT0002-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.77, behaviour=0.00, contradictions=1; final=0.06 (rank 3/5)"
EVT0002,EVT0002-C-592609471,592609471,4,0.0441,low,False,False,Cargo,0.0,0.0,0.0016,0.557,0.3671,0.0,0.827,1,0,0,7,0.9135,0.0011,131.271,False,False,EVT0002-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.56, behaviour=0.00, contradictions=1; final=0.04 (rank 4/5)"
EVT0002,EVT0002-C-624609674,624609674,5,0.043,low,False,False,Tug,0.0,0.0,0.0002,0.4282,0.7321,0.0,0.827,1,0,0,7,0.9135,0.043,185.47,False,False,EVT0002-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.43, behaviour=0.00, contradictions=1; final=0.04 (rank 5/5)"
EVT0003,EVT0003-C-527201014,527201014,1,0.6454,medium,False,True,Passenger,1.0,0.786,0.85,0.0517,0.4979,0.6264,0.8534,0,0,1,7,0.9267,0.5412,4.696,True,True,EVT0003-HBEST,"src_prob=1.00, spatial=0.79, temporal=0.85, drift=0.05, behaviour=0.63, contradictions=0; final=0.65 (rank 1/5)"
EVT0003,EVT0003-C-425068991,425068991,2,0.1042,low,False,False,Fishing,0.0,0.0021,0.0482,0.7708,0.818,0.0,0.8534,1,0,0,7,0.9267,0.0452,75.627,False,False,EVT0003-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.05, drift=0.77, behaviour=0.00, contradictions=1; final=0.10 (rank 2/5)"
EVT0003,EVT0003-C-425372509,425372509,3,0.059,low,False,False,Tug,0.0,0.0,0.0032,0.6272,0.416,0.0,0.8534,1,0,0,7,0.9267,0.0108,129.002,False,True,EVT0003-HBEST,"src_prob=0.00, spatial=0.00, temporal=0.00, drift=0.63, behaviour=0.00, contradictions=1; final=0.06 (rank 3/5)"
EVT0003,EVT0003-C-592609471,592609471,4,0.0482,low,False,False,Cargo,0.0,0.0243,0.0472,0.556,0.1772,0.0,0.8534,1,0,0,7,0.9267,0.0043,46.429,False,False,EVT0003-HBEST,"src_prob=0.00, spatial=0.02, temporal=0.05, drift=0.56, behaviour=0.00, contradictions=1; final=0.05 (rank 4/5)"
EVT0003,EVT0003-C-649261623,649261623,5,0.0439,low,False,False,Passenger,0.0,0.0214,0.055,0.4917,0.2639,0.0,0.8534,1,0,0,7,0.9267,0.0439,47.961,False,False,EVT0003-HBEST,"src_prob=0.00, spatial=0.02, temporal=0.06, drift=0.49, behaviour=0.00, contradictions=1; final=0.04 (rank 5/5)"
EVT0004,EVT0004-C-666296434,666296434,1,0.7987,high,False,True,Cargo,1.0,1.0,0.9957,0.3726,0.483,0.5534,0.99,0,0,1,7,0.995,0.4635,1.384,True,True,EVT0004-HBEST,"src_prob=1.00, spatial=1.00, temporal=1.00, drift=0.37, behaviour=0.55, contradictions=0; final=0.80 (rank 1/5)"
EVT0004,EVT0004-C-387800812,387800812,2,0.3352,low,False,False,Passenger,0.072,0.3196,0.85,0.0247,0.2131,0.25,0.99,0,1,0,7,0.995,0.0989,17.528,False,False,EVT0004-HBEST,"src_prob=0.07, spatial=0.32, temporal=0.85, drift=0.02, behaviour=0.25, contradictions=0; final=0.34 (rank 2/5)"
EVT0004,EVT0004-C-701271671,701271671,3,0.2363,low,False,False,Tug,0.0,0.0528,0.2982,0.4871,0.6192,0.0,0.99,0,1,0,7,0.995,0.1511,39.142,False,False,EVT0004-HBEST,"src_prob=0.00, spatial=0.05, temporal=0.30, drift=0.49, behaviour=0.00, contradictions=0; final=0.24 (rank 3/5)"
