edge_id,event_id,source_node_id,target_node_id,relation_type,confidence,timestamp,provenance
E000001,EVT0001,EVT0001-OBS000,S1_EVT0001_02,DERIVED-FROM,,,F1->F2
E000002,EVT0002,EVT0002-OBS000,S1_EVT0002_01,DERIVED-FROM,,,F1->F2
E000003,EVT0002,EVT0002-OBS001,S1_EVT0002_02,DERIVED-FROM,,,F1->F2
E000004,EVT0002,EVT0002-OBS003,S1_EVT0002_04,DERIVED-FROM,,,F1->F2
E000005,EVT0002,EVT0002-OBS004,S1_EVT0002_05,DERIVED-FROM,,,F1->F2
E000006,EVT0003,EVT0003-OBS000,S1_EVT0003_00,DERIVED-FROM,,,F1->F2
E000007,EVT0003,EVT0003-OBS001,S1_EVT0003_01,DERIVED-FROM,,,F1->F2
E000008,EVT0003,EVT0003-OBS002,S1_EVT0003_02,DERIVED-FROM,,,F1->F2
E000009,EVT0003,EVT0003-OBS003,S1_EVT0003_03,DERIVED-FROM,,,F1->F2
E000010,EVT0003,EVT0003-OBS004,S1_EVT0003_04,DERIVED-FROM,,,F1->F2
E000011,EVT0003,EVT0003-OBS006,S1_EVT0003_06,DERIVED-FROM,,,F1->F2
E000012,EVT0003,EVT0003-OBS007,S1_EVT0003_07,DERIVED-FROM,,,F1->F2
E000013,EVT0003,EVT0003-OBS008,S1_EVT0003_08,DERIVED-FROM,,,F1->F2
E000014,EVT0003,EVT0003-OBS009,S1_EVT0003_09,DERIVED-FROM,,,F1->F2
E000015,EVT0004,EVT0004-OBS000,S1_EVT0004_00,DERIVED-FROM,,,F1->F2
E000016,EVT0004,EVT0004-OBS001,S1_EVT0004_01,DERIVED-FROM,,,F1->F2
E000017,EVT0004,EVT0004-OBS002,S1_EVT0004_02,DERIVED-FROM,,,F1->F2
E000018,EVT0004,EVT0004-OBS003,S1_EVT0004_03,DERIVED-FROM,,,F1->F2
E000019,EVT0005,EVT0005-OBS000,S1_EVT0005_01,DERIVED-FROM,,,F1->F2
E000020,EVT0005,EVT0005-OBS001,S1_EVT0005_02,DERIVED-FROM,,,F1->F2
E000021,EVT0005,EVT0005-OBS002,S1_EVT0005_03,DERIVED-FROM,,,F1->F2
E000022,EVT0005,EVT0005-OBS003,S1_EVT0005_04,DERIVED-FROM,,,F1->F2
E000023,EVT0005,EVT0005-OBS004,S1_EVT0005_05,DERIVED-FROM,,,F1->F2
E000024,EVT0005,EVT0005-OBS005,S1_EVT0005_06,DERIVED-FROM,,,F1->F2
E000025,EVT0005,EVT0005-OBS006,S1_EVT0005_07,DERIVED-FROM,,,F1->F2
E000026,EVT0005,EVT0005-OBS007,S1_EVT0005_08,DERIVED-FROM,,,F1->F2
E000027,EVT0005,EVT0005-OBS008,S1_EVT0005_09,DERIVED-FROM,,,F1->F2
E000028,EVT0006,EVT0006-OBS000,S1_EVT0006_00,DERIVED-FROM,,,F1->F2
E000029,EVT0006,EVT0006-OBS001,S1_EVT0006_01,DERIVED-FROM,,,F1->F2
E000030,EVT0006,EVT0006-OBS002,S1_EVT0006_02,DERIVED-FROM,,,F1->F2
E000031,EVT0006,EVT0006-OBS004,S1_EVT0006_04,DERIVED-FROM,,,F1->F2
E000032,EVT0006,EVT0006-OBS005,S1_EVT0006_05,DERIVED-FROM,,,F1->F2
E000033,EVT0006,EVT0006-OBS006,S1_EVT0006_06,DERIVED-FROM,,,F1->F2
E000034,EVT0006,EVT0006-OBS008,S1_EVT0006_08,DERIVED-FROM,,,F1->F2
E000035,EVT0007,EVT0007-OBS000,S1_EVT0007_01,DERIVED-FROM,,,F1->F2
E000036,EVT0007,EVT0007-OBS001,S1_EVT0007_02,DERIVED-FROM,,,F1->F2
E000037,EVT0007,EVT0007-OBS002,S1_EVT0007_03,DERIVED-FROM,,,F1->F2
E000038,EVT0007,EVT0007-OBS003,S1_EVT0007_04,DERIVED-FROM,,,F1->F2
E000039,EVT0007,EVT0007-OBS005,S1_EVT0007_06,DERIVED-FROM,,,F1->F2
E000040,EVT0008,EVT0008-OBS000,S1_EVT0008_00,DERIVED-FROM,,,F1->F2
E000041,EVT0008,EVT0008-OBS001,S1_EVT0008_01,DERIVED-FROM,,,F1->F2
E000042,EVT0008,EVT0008-OBS002,S1_EVT0008_02,DERIVED-FROM,,,F1->F2
E000043,EVT0008,EVT0008-OBS003,S1_EVT0008_03,DERIVED-FROM,,,F1->F2
E000044,EVT0008,EVT0008-OBS004,S1_EVT0008_04,DERIVED-FROM,,,F1->F2
E000045,EVT0008,EVT0008-OBS005,S1_EVT0008_05,DERIVED-FROM,,,F1->F2
E000046,EVT0008,EVT0008-OBS007,S1_EVT0008_07,DERIVED-FROM,,,F1->F2
E000047,EVT0009,EVT0009-OBS000,S1_EVT0009_01,DERIVED-FROM,,,F1->F2
E000048,EVT0009,EVT0009-OBS001,S1_EVT0009_02,DERIVED-FROM,,,F1->F2
E000049,EVT0009,EVT0009-OBS003,S1_EVT0009_04,DERIVED-FROM,,,F1->F2
E000050,EVT0009,EVT0009-OBS004,S1_EVT0009_05,DERIVED-FROM,,,F1->F2
E000051,EVT0010,EVT0010-OBS000,S1_EVT0010_02,DERIVED-FROM,,,F1->F2
E000052,EVT0010,EVT0010-OBS001,S1_EVT0010_03,DERIVED-FROM,,,F1->F2
E000053,EVT0010,EVT0010-OBS002,S1_EVT0010_04,DERIVED-FROM,,,F1->F2
E000054,EVT0010,EVT0010-OBS003,S1_EVT0010_05,DERIVED-FROM,,,F1->F2
E000055,EVT0010,EVT0010-OBS004,S1_EVT0010_06,DERIVED-FROM,,,F1->F2
E000056,EVT0010,EVT0010-OBS005,S1_EVT0010_07,DERIVED-FROM,,,F1->F2
E000057,EVT0010,EVT0010-OBS007,S1_EVT0010_09,DERIVED-FROM,,,F1->F2
E000058,EVT0011,EVT0011-OBS000,S1_EVT0011_00,DERIVED-FROM,,,F1->F2
E000059,EVT0011,EVT0011-OBS001,S1_EVT0011_01,DERIVED-FROM,,,F1->F2
E000060,EVT0011,EVT0011-OBS002,S1_EVT0011_02,DERIVED-FROM,,,F1->F2
E000061,EVT0011,EVT0011-OBS003,S1_EVT0011_03,DERIVED-FROM,,,F1->F2
E000062,EVT0011,EVT0011-OBS004,S1_EVT0011_04,DERIVED-FROM,,,F1->F2
E000063,EVT0011,EVT0011-OBS005,S1_EVT0011_05,DERIVED-FROM,,,F1->F2
E000064,EVT0012,EVT0012-OBS000,S1_EVT0012_01,DERIVED-FROM,,,F1->F2
E000065,EVT0012,EVT0012-OBS001,S1_EVT0012_02,DERIVED-FROM,,,F1->F2
E000066,EVT0012,EVT0012-OBS002,S1_EVT0012_03,DERIVED-FROM,,,F1->F2
E000067,EVT0012,EVT0012-OBS004,S1_EVT0012_05,DERIVED-FROM,,,F1->F2
E000068,EVT0012,EVT0012-OBS005,S1_EVT0012_06,DERIVED-FROM,,,F1->F2
E000069,EVT0012,EVT0012-OBS006,S1_EVT0012_07,DERIVED-FROM,,,F1->F2
E000070,EVT0012,EVT0012-OBS007,S1_EVT0012_08,DERIVED-FROM,,,F1->F2
E000071,EVT0002,EVT0002-OBS001,EVT0002-OBS000,DERIVED-FROM,,,temporal-successor
E000072,EVT0002,EVT0002-OBS003,EVT0002-OBS001,DERIVED-FROM,,,temporal-successor
E000073,EVT0002,EVT0002-OBS004,EVT0002-OBS003,DERIVED-FROM,,,temporal-successor
E000074,EVT0003,EVT0003-OBS001,EVT0003-OBS000,DERIVED-FROM,,,temporal-successor
E000075,EVT0003,EVT0003-OBS002,EVT0003-OBS001,DERIVED-FROM,,,temporal-successor
E000076,EVT0003,EVT0003-OBS003,EVT0003-OBS002,DERIVED-FROM,,,temporal-successor
E000077,EVT0003,EVT0003-OBS004,EVT0003-OBS003,DERIVED-FROM,,,temporal-successor
