node_id,event_id,node_type,timestamp,latitude,longitude,confidence,uncertainty,provenance
EVT0001-OBS000,EVT0001,SPILL_OBSERVATION,2026-01-09T16:00:22Z,38.363357,21.147173,0.99,,scene:S1_EVT0001_02
S1_EVT0001_02,EVT0001,SPILL_OBSERVATION,2026-01-09T16:00:22Z,,,,,D1
EVT0001-ENV,EVT0001,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0002-OBS000,EVT0002,SPILL_OBSERVATION,2026-01-13T13:49:27Z,38.120844,18.311143,0.956,,scene:S1_EVT0002_01
S1_EVT0002_01,EVT0002,SPILL_OBSERVATION,2026-01-13T13:49:27Z,,,,,D1
EVT0002-ENV,EVT0002,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0002-OBS001,EVT0002,SPILL_OBSERVATION,2026-01-14T03:24:19Z,38.25828,18.462408,0.817,,scene:S1_EVT0002_02
S1_EVT0002_02,EVT0002,SPILL_OBSERVATION,2026-01-14T03:24:19Z,,,,,D1
EVT0002-OBS003,EVT0002,SPILL_OBSERVATION,2026-01-15T14:36:21Z,38.4353,18.471869,0.981,,scene:S1_EVT0002_04
S1_EVT0002_04,EVT0002,SPILL_OBSERVATION,2026-01-15T14:36:21Z,,,,,D1
EVT0002-OBS004,EVT0002,SPILL_OBSERVATION,2026-01-16T07:34:03Z,38.567269,18.434904,0.554,,scene:S1_EVT0002_05
S1_EVT0002_05,EVT0002,SPILL_OBSERVATION,2026-01-16T07:34:03Z,,,,,D1
EVT0003-OBS000,EVT0003,SPILL_OBSERVATION,2026-01-11T11:52:26Z,35.89882,18.863885,0.769,,scene:S1_EVT0003_00
S1_EVT0003_00,EVT0003,SPILL_OBSERVATION,2026-01-11T11:52:26Z,,,,,D1
EVT0003-ENV,EVT0003,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0003-OBS001,EVT0003,SPILL_OBSERVATION,2026-01-12T04:39:18Z,36.012905,19.090642,0.99,,scene:S1_EVT0003_01
S1_EVT0003_01,EVT0003,SPILL_OBSERVATION,2026-01-12T04:39:18Z,,,,,D1
EVT0003-OBS002,EVT0003,SPILL_OBSERVATION,2026-01-12T22:10:05Z,36.253898,19.092267,0.8,,scene:S1_EVT0003_02
S1_EVT0003_02,EVT0003,SPILL_OBSERVATION,2026-01-12T22:10:05Z,,,,,D1
EVT0003-OBS003,EVT0003,SPILL_OBSERVATION,2026-01-13T15:15:59Z,36.403041,19.307598,0.775,,scene:S1_EVT0003_03
S1_EVT0003_03,EVT0003,SPILL_OBSERVATION,2026-01-13T15:15:59Z,,,,,D1
EVT0003-OBS004,EVT0003,SPILL_OBSERVATION,2026-01-14T06:04:23Z,36.631101,19.443898,0.902,,scene:S1_EVT0003_04
S1_EVT0003_04,EVT0003,SPILL_OBSERVATION,2026-01-14T06:04:23Z,,,,,D1
EVT0003-OBS006,EVT0003,SPILL_OBSERVATION,2026-01-15T16:42:11Z,37.09319,19.637774,0.99,,scene:S1_EVT0003_06
S1_EVT0003_06,EVT0003,SPILL_OBSERVATION,2026-01-15T16:42:11Z,,,,,D1
EVT0003-OBS007,EVT0003,SPILL_OBSERVATION,2026-01-16T11:44:25Z,37.18546,19.675289,0.693,,scene:S1_EVT0003_07
S1_EVT0003_07,EVT0003,SPILL_OBSERVATION,2026-01-16T11:44:25Z,,,,,D1
EVT0003-OBS008,EVT0003,SPILL_OBSERVATION,2026-01-17T09:15:10Z,37.33025,19.449561,0.99,,scene:S1_EVT0003_08
S1_EVT0003_08,EVT0003,SPILL_OBSERVATION,2026-01-17T09:15:10Z,,,,,D1
EVT0003-OBS009,EVT0003,SPILL_OBSERVATION,2026-01-18T05:52:43Z,37.329846,19.544796,0.772,,scene:S1_EVT0003_09
S1_EVT0003_09,EVT0003,SPILL_OBSERVATION,2026-01-18T05:52:43Z,,,,,D1
EVT0004-OBS000,EVT0004,SPILL_OBSERVATION,2026-01-06T14:03:35Z,37.551823,21.873967,0.99,,scene:S1_EVT0004_00
S1_EVT0004_00,EVT0004,SPILL_OBSERVATION,2026-01-06T14:03:35Z,,,,,D1
EVT0004-ENV,EVT0004,ENVIRONMENTAL_STATE,,,,,,ERA5+CMEMS(synthetic)
EVT0004-OBS001,EVT0004,SPILL_OBSERVATION,2026-01-07T11:51:13Z,37.524115,21.938802,0.99,,scene:S1_EVT0004_01
S1_EVT0004_01,EVT0004,SPILL_OBSERVATION,2026-01-07T11:51:13Z,,,,,D1
EVT0004-OBS002,EVT0004,SPILL_OBSERVATION,2026-01-08T06:44:48Z,37.623896,22.16271,0.99,,scene:S1_EVT0004_02
S1_EVT0004_02,EVT0004,SPILL_OBSERVATION,2026-01-08T06:44:48Z,,,,,D1
