event_id,forecast_id,forecast_horizon_hours,valid_timestamp,matched_observation_id,matched_timestamp,match_offset_hours,predicted_centroid_lat,predicted_centroid_lon,observed_future_polygon_wkt,observed_centroid_lat,observed_centroid_lon,trajectory_error_km,observed_region_coverage_iou,observed_in_forecast_envelope_frac,observed_centroid_in_envelope,calibration_ratio,well_calibrated
EVT0002,EVT0002-FC02,12.0,2026-01-16T02:36:21Z,EVT0002-OBS004,2026-01-16T07:34:03Z,4.962,38.52115,18.445054,"POLYGON ((18.386436 38.529582, 18.385056 38.53022, 18.379755 38.533404, 18.384097 38.542213, 18.401308 38.568057, 18.410968 38.582351, 18.411052 38.582465, 18.41115 38.582571, 18.411262 38.582668, 18.413933 38.584725, 18.414043 38.584803, 18.414163 38.584871, 18.42768 38.591688, 18.427817 38.591743, 18.42796 38.591787, 18.428109 38.591818, 18.42826 38.591836, 18.428413 38.591842, 18.485398 38.591514, 18.485547 38.591507, 18.485695 38.591488, 18.48584 38.591456, 18.485979 38.591413, 18.486113 38.591358, 18.494123 38.587884, 18.494253 38.587821, 18.494374 38.587748, 18.494486 38.587665, 18.494587 38.587573, 18.49887 38.583347, 18.498962 38.583254, 18.499042 38.583154, 18.49911 38.583047, 18.499165 38.582936, 18.499206 38.582821, 18.499233 38.582703, 18.499245 38.582584, 18.499243 38.582464, 18.499227 38.582345, 18.499197 38.582227, 18.499152 38.582113, 18.499094 38.582003, 18.499023 38.581898, 18.498939 38.5818, 18.498845 38.581708, 18.498739 38.581625, 18.498624 38.581551, 18.495807 38.579908, 18.46847 38.564642, 18.46835 38.564581, 18.389062 38.529176, 18.386436 38.529582))",38.567269,18.434904,5.2168,0.0,1.0,True,2.2958,False
EVT0002,EVT0002-FC02,24.0,2026-01-16T14:36:21Z,EVT0002-OBS004,2026-01-16T07:34:03Z,-7.038,38.536359,18.452193,"POLYGON ((18.386436 38.529582, 18.385056 38.53022, 18.379755 38.533404, 18.384097 38.542213, 18.401308 38.568057, 18.410968 38.582351, 18.411052 38.582465, 18.41115 38.582571, 18.411262 38.582668, 18.413933 38.584725, 18.414043 38.584803, 18.414163 38.584871, 18.42768 38.591688, 18.427817 38.591743, 18.42796 38.591787, 18.428109 38.591818, 18.42826 38.591836, 18.428413 38.591842, 18.485398 38.591514, 18.485547 38.591507, 18.485695 38.591488, 18.48584 38.591456, 18.485979 38.591413, 18.486113 38.591358, 18.494123 38.587884, 18.494253 38.587821, 18.494374 38.587748, 18.494486 38.587665, 18.494587 38.587573, 18.49887 38.583347, 18.498962 38.583254, 18.499042 38.583154, 18.49911 38.583047, 18.499165 38.582936, 18.499206 38.582821, 18.499233 38.582703, 18.499245 38.582584, 18.499243 38.582464, 18.499227 38.582345, 18.499197 38.582227, 18.499152 38.582113, 18.499094 38.582003, 18.499023 38.581898, 18.498939 38.5818, 18.498845 38.581708, 18.498739 38.581625, 18.498624 38.581551, 18.495807 38.579908, 18.46847 38.564642, 18.46835 38.564581, 18.389062 38.529176, 18.386436 38.529582))",38.567269,18.434904,3.7848,0.0,0.9602,True,1.2692,True
EVT0003,EVT0003-FC02,12.0,2026-01-13T10:10:05Z,EVT0003-OBS003,2026-01-13T15:15:59Z,5.098,36.319701,19.205473,"POLYGON ((19.245798 36.38588, 19.23455 36.398185, 19.245172 36.416307, 19.252031 36.418158, 19.26212 36.42051, 19.376808 36.424849, 19.376949 36.424849, 19.377089 36.424839, 19.377227 36.424817, 19.377363 36.424784, 19.377494 36.424742, 19.377619 36.424689, 19.379246 36.423921, 19.379363 36.423859, 19.379474 36.423789, 19.379575 36.42371, 19.379667 36.423624, 19.379749 36.42353, 19.379819 36.423431, 19.379878 36.423327, 19.381696 36.419666, 19.381743 36.419555, 19.381778 36.419441, 19.381798 36.419325, 19.381805 36.419208, 19.3818 36.413682, 19.381793 36.413564, 19.381771 36.413447, 19.381737 36.413332, 19.381688 36.413221, 19.381627 36.413114, 19.371328 36.398503, 19.371248 36.398406, 19.371158 36.398315, 19.371057 36.398231, 19.370947 36.398157, 19.370829 36.398091, 19.35006 36.387041, 19.349935 36.38698, 19.349803 36.386929, 19.349666 36.386889, 19.331909 36.381892, 19.331772 36.381861, 19.331632 36.381842, 19.33149 36.381834, 19.269623 36.37989, 19.245798 36.38588))",36.403041,19.307598,13.1452,0.0,0.9446,True,6.1689,False
EVT0003,EVT0003-FC02,24.0,2026-01-13T22:10:05Z,EVT0003-OBS003,2026-01-13T15:15:59Z,-6.902,36.455156,19.34778,"POLYGON ((19.245798 36.38588, 19.23455 36.398185, 19.245172 36.416307, 19.252031 36.418158, 19.26212 36.42051, 19.376808 36.424849, 19.376949 36.424849, 19.377089 36.424839, 19.377227 36.424817, 19.377363 36.424784, 19.377494 36.424742, 19.377619 36.424689, 19.379246 36.423921, 19.379363 36.423859, 19.379474 36.423789, 19.379575 36.42371, 19.379667 36.423624, 19.379749 36.42353, 19.379819 36.423431, 19.379878 36.423327, 19.381696 36.419666, 19.381743 36.419555, 19.381778 36.419441, 19.381798 36.419325, 19.381805 36.419208, 19.3818 36.413682, 19.381793 36.413564, 19.381771 36.413447, 19.381737 36.413332, 19.381688 36.413221, 19.381627 36.413114, 19.371328 36.398503, 19.371248 36.398406, 19.371158 36.398315, 19.371057 36.398231, 19.370947 36.398157, 19.370829 36.398091, 19.35006 36.387041, 19.349935 36.38698, 19.349803 36.386929, 19.349666 36.386889, 19.331909 36.381892, 19.331772 36.381861, 19.331632 36.381842, 19.33149 36.381834, 19.269623 36.37989, 19.245798 36.38588))",36.403041,19.307598,6.8616,0.0,1.0,True,2.2238,False
EVT0003,EVT0003-FC02,72.0,2026-01-15T22:10:05Z,EVT0003-OBS006,2026-01-15T16:42:11Z,-5.465,36.994703,19.237512,"POLYGON ((19.604943 37.150235, 19.607483 37.150513, 19.611897 37.146847, 19.612607 37.144864, 19.61052 37.142083, 19.612997 37.140174, 19.61579 37.141113, 19.614767 37.144481, 19.615969 37.145872, 19.619232 37.146606, 19.621614 37.14467, 19.621521 37.141211, 19.624154 37.13978, 19.634104 37.139492, 19.634744 37.133595, 19.63768 37.13312, 19.640993 37.136031, 19.644245 37.135311, 19.645113 37.132658, 19.642336 37.130398, 19.642344 37.12882, 19.651467 37.126797, 19.653052 37.125113, 19.654077 37.118826, 19.651136 37.111463, 19.65397 37.107167, 19.658713 37.104585, 19.658954 37.100521, 19.663949 37.099145, 19.665518 37.097471, 19.665173 37.095368, 19.661439 37.092878, 19.663157 37.089203, 19.668158 37.086645, 19.667816 37.084563, 19.665108 37.082608, 19.66512 37.07767, 19.670385 37.076506, 19.671931 37.073428, 19.669549 37.071469, 19.664515 37.071584, 19.663889 37.068488, 19.660488 37.065171, 19.661098 37.061176, 19.657209 37.058666, 19.658237 37.05598, 19.663229 37.056546, 19.665617 37.054589, 19.66475 37.051937, 19.660505 37.050935, 19.658434 37.04853, 19.658476 37.043229, 19.661626 37.040789, 19.661627 37.038061, 19.659574 37.036761, 19.657005 37.037044, 19.655451 37.038711, 19.655537 37.042104, 19.652026 37.043191, 19.64859 37.039895, 19.650962 37.035792, 19.647836 37.032781, 19.640926 37.036773, 19.639938 37.040917, 19.636483 37.042755, 19.635182 37.05602, 19.631617 37.058686, 19.627579 37.058339, 19.62521 37.060271, 19.625205 37.062759, 19.623166 37.064966, 19.624025 37.067598, 19.627302 37.068324, 19.631429 37.065544, 19.633023 37.068046, 19.628786 37.071818, 19.622117 37.072088, 19.620956 37.076227, 19.617995 37.078785, 19.61981 37.082514, 19.618635 37.085351, 19.620576 37.092778, 19.618225 37.093897, 19.613621 37.092799, 19.611247 37.094745, 19.611618 37.097356, 19.609367 37.101411, 19.615838 37.108181, 19.609686 37.112941, 19.61093 37.119053, 19.607557 37.125444, 19.610024 37.129467, 19.608026 37.131903, 19.608968 37.135284, 19.606674 37.138544, 19.60858 37.141937, 19.603399 37.148443, 19.604943 37.150235), (19.654258 37.064344, 19.652259 37.064176, 19.65245 37.062159, 19.654341 37.062297, 19.654258 37.064344), (19.644251 37.044268, 19.647497 37.046988, 19.645591 37.048512, 19.643089 37.047938, 19.642837 37.044794, 19.644251 37.044268))",37.09319,19.637774,38.1101,0.0,1.0,True,5.4329,False
EVT0004,EVT0004-FC02,12.0,2026-01-08T18:44:48Z,EVT0004-OBS003,2026-01-09T04:04:08Z,9.322,37.762759,22.30861,"POLYGON ((22.305882 38.025754, 22.308906 38.027409, 22.30904 38.031058, 22.316483 38.03572, 22.321073 38.034582, 22.325728 38.037292, 22.328306 38.042473, 22.335282 38.044166, 22.340436 38.049011, 22.34641 38.047086, 22.348511 38.050156, 22.355055 38.054085, 22.361312 38.050408, 22.367735 38.052342, 22.371099 38.055706, 22.378418 38.056489, 22.381546 38.060757, 22.386208 38.059544, 22.386088 38.036618, 22.374308 38.036389, 22.37222 38.032632, 22.368942 38.031531, 22.366311 38.028526, 22.363425 38.028537, 22.359805 38.031327, 22.356067 38.028491, 22.35235 38.029016, 22.34416 38.026086, 22.340888 38.026114, 22.33888 38.023531, 22.335197 38.02206, 22.332366 38.022702, 22.330779 38.026206, 22.32674 38.027071, 22.323573 38.025034, 22.322298 38.021892, 22.319311 38.0206, 22.319404 38.017046, 22.317331 38.015364, 22.309969 38.016729, 22.306785 38.019863, 22.303002 38.016287, 22.300263 38.016274, 22.298934 38.018978, 22.303582 38.021153, 22.305882 38.025754))",38.037556,22.348664,30.8077,0.0,0.6409,True,19.6083,False
EVT0004,EVT0004-FC02,24.0,2026-01-09T06:44:48Z,EVT0004-OBS003,2026-01-09T04:04:08Z,-2.678,37.976943,22.355484,"POLYGON ((22.305882 38.025754, 22.308906 38.027409, 22.30904 38.031058, 22.316483 38.03572, 22.321073 38.034582, 22.325728 38.037292, 22.328306 38.042473, 22.335282 38.044166, 22.340436 38.049011, 22.34641 38.047086, 22.348511 38.050156, 22.355055 38.054085, 22.361312 38.050408, 22.367735 38.052342, 22.371099 38.055706, 22.378418 38.056489, 22.381546 38.060757, 22.386208 38.059544, 22.386088 38.036618, 22.374308 38.036389, 22.37222 38.032632, 22.368942 38.031531, 22.366311 38.028526, 22.363425 38.028537, 22.359805 38.031327, 22.356067 38.028491, 22.35235 38.029016, 22.34416 38.026086, 22.340888 38.026114, 22.33888 38.023531, 22.335197 38.02206, 22.332366 38.022702, 22.330779 38.026206, 22.32674 38.027071, 22.323573 38.025034, 22.322298 38.021892, 22.319311 38.0206, 22.319404 38.017046, 22.317331 38.015364, 22.309969 38.016729, 22.306785 38.019863, 22.303002 38.016287, 22.300263 38.016274, 22.298934 38.018978, 22.303582 38.021153, 22.305882 38.025754))",38.037556,22.348664,6.7761,0.0,0.7859,True,3.1338,False
EVT0005,EVT0005-FC02,12.0,2026-01-15T02:12:40Z,EVT0005-OBS003,2026-01-15T12:50:55Z,10.637,37.74862,19.895633,"POLYGON ((19.884818 37.736045, 19.869074 37.754759, 19.86871 37.781889, 19.878102 37.798186, 19.889794 37.815924, 19.895052 37.818519, 20.03699 37.887061, 20.048787 37.885518, 20.078908 37.845193, 20.078874 37.834649, 19.899003 37.7386, 19.887437 37.735468, 19.884818 37.736045))",37.813588,19.9681,9.7965,0.0,0.9421,True,3.7107,False
EVT0005,EVT0005-FC02,24.0,2026-01-15T14:12:40Z,EVT0005-OBS003,2026-01-15T12:50:55Z,-1.363,37.839129,19.867393,"POLYGON ((19.884818 37.736045, 19.869074 37.754759, 19.86871 37.781889, 19.878102 37.798186, 19.889794 37.815924, 19.895052 37.818519, 20.03699 37.887061, 20.048787 37.885518, 20.078908 37.845193, 20.078874 37.834649, 19.899003 37.7386, 19.887437 37.735468, 19.884818 37.736045))",37.813588,19.9681,9.6133,0.0,1.0,True,2.4458,False
EVT0005,EVT0005-FC02,48.0,2026-01-16T14:12:40Z,EVT0005-OBS005,2026-01-16T21:40:17Z,7.46,38.076456,19.804053,"POLYGON ((19.955619 38.324006, 19.955656 38.32036, 19.958697 38.316044, 19.966082 38.311318, 19.970551 38.312661, 19.97318 38.311402, 19.971549 38.306091, 19.966153 38.307049, 19.963948 38.305892, 19.966158 38.30182, 19.962637 38.298519, 19.963079 38.296491, 19.972083 38.292947, 19.97403 38.293884, 19.973082 38.296962, 19.974627 38.299121, 19.977666 38.299122, 19.981932 38.296486, 19.98613 38.292077, 19.984397 38.285708, 19.987198 38.283382, 19.987922 38.28063, 19.995889 38.27821, 20.000868 38.274437, 20.000863 38.271932, 19.997713 38.269846, 19.998015 38.266823, 20.001187 38.264269, 20.008044 38.265615, 20.010006 38.262316, 20.013823 38.260468, 20.01412 38.25858, 20.011564 38.255474, 20.013868 38.250929, 20.020442 38.248954, 20.025929 38.250018, 20.029733 38.244761, 20.034975 38.242401, 20.032479 38.238391, 20.032919 38.234525, 20.039906 38.231759, 20.044374 38.231724, 20.045768 38.230224, 20.045406 38.226412, 20.049428 38.225568, 20.051976 38.223012, 20.05715 38.2251, 20.059756 38.223887, 20.059284 38.220904, 20.054395 38.220409, 20.051351 38.217807, 20.054255 38.212545, 20.05712 38.21295, 20.0589 38.217023, 20.062841 38.217653, 20.065083 38.21525, 20.062421 38.211461, 20.065494 38.208012, 20.070399 38.208437, 20.076045 38.204874, 20.080259 38.206532, 20.08286 38.205309, 20.082389 38.202314, 20.078585 38.201298, 20.077154 38.199508, 20.07804 38.197813, 20.084072 38.19588, 20.082072 38.190556, 20.08819 38.185678, 20.091069 38.177882, 20.095213 38.174099, 20.100666 38.174391, 20.102797 38.172654, 20.102011 38.170235, 20.098482 38.168592, 20.097212 38.164063, 20.100055 38.16273, 20.105139 38.165286, 20.107406 38.162903, 20.105902 38.160758, 20.100824 38.161047, 20.098833 38.158617, 20.102426 38.15319, 20.102319 38.148279, 20.099932 38.145257, 20.061521 38.145273, 20.063761 38.14812, 20.064209 38.152612, 20.058074 38.156167, 20.05399 38.155782, 20.051826 38.157574, 20.053969 38.160574, 20.059181 38.157899, 20.062564 38.159684, 20.061281 38.163024, 20.056715 38.165425, 20.058502 38.169103, 20.057825 38.171205, 20.053059 38.171864, 20.051656 38.173356, 20.056502 38.182187, 20.054606 38.184328, 20.050262 38.185867, 20.044406 38.185823, 20.044397 38.194278, 20.032996 38.199765, 20.029471 38.204382, 20.023582 38.204783, 20.021942 38.214837, 20.011944 38.21675, 20.012214 38.22036, 20.010334 38.223331, 20.013309 38.227215, 20.011541 38.230777, 20.004441 38.232364, 19.999662 38.231893, 19.99691 38.237617, 19.991108 38.239017, 19.987314 38.237338, 19.984709 38.238569, 19.98585 38.241964, 19.991278 38.240909, 19.995076 38.242603, 19.999613 38.24145, 20.002555 38.245815, 19.996858 38.246847, 19.993773 38.250976, 19.987991 38.248584, 19.978998 38.250746, 19.979468 38.253813, 19.98173 38.254893, 19.984356 38.254265, 19.985373 38.256562, 19.979883 38.257993, 19.979129 38.262626, 19.972562 38.265169, 19.973019 38.270044, 19.965487 38.274747, 19.967627 38.278996, 19.96494 38.282068, 19.962627 38.282709, 19.958978 38.281143, 19.956372 38.282373, 19.956367 38.284875, 19.96071 38.288318, 19.959028 38.293877, 19.956658 38.294424, 19.954646 38.291032, 19.951001 38.290645, 19.949185 38.294658, 19.944146 38.298163, 19.943504 38.301427, 19.938789 38.303291, 19.939263 38.306236, 19.944607 38.306924, 19.947129 38.311255, 19.942687 38.315705, 19.936488 38.314494, 19.933393 38.321702, 19.924228 38.324243, 19.92426 38.326675, 19.929176 38.328981, 19.952306 38.328973, 19.950967 38.326286, 19.955619 38.324006), (20.041078 38.208903, 20.038312 38.209051, 20.036398 38.206035, 20.038048 38.205066, 20.041373 38.206735, 20.041078 38.208903), (20.008932 38.256866, 20.008002 38.259847, 20.006089 38.260791, 19.99863 38.258195, 19.999923 38.256306, 20.007722 38.255635, 20.008932 38.256866), (19.982173 38.284905, 19.979664 38.285755, 19.978687 38.283695, 19.981016 38.282869, 19.982173 38.284905), (19.978464 38.288673, 19.976113 38.289276, 19.974568 38.287539, 19.976476 38.285483, 19.978542 38.285557, 19.978464 38.288673))",38.226858,20.026487,26.3008,0.0,1.0,True,5.7436,False
